Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,1,14,12-31-2016
2,Starboy,The Weeknd Featuring Daft Punk,2,2,13,12-31-2016
3,Closer,The Chainsmokers Featuring Halsey,3,1,20,12-31-2016
4,24K Magic,Bruno Mars,4,4,10,12-31-2016
5,Side To Side,Ariana Grande Featuring Nicki Minaj,5,4,16,12-31-2016
6,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,,6,1,12-31-2016
7,Deja Vu,J. Cole,,7,1,12-31-2016
8,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,6,5,12,12-31-2016
9,Let Me Love You,DJ Snake Featuring Justin Bieber,8,4,19,12-31-2016
10,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,7,7,10,12-31-2016
11,Immortal,J. Cole,,11,1,12-31-2016
12,Fake Love,Drake,11,10,8,12-31-2016
13,Neighbors,J. Cole,,13,1,12-31-2016
14,Bad Things,Machine Gun Kelly x Camila Cabello,10,10,7,12-31-2016
15,Heathens,twenty one pilots,9,2,26,12-31-2016
16,Caroline,Amine,15,12,15,12-31-2016
17,Broccoli,D.R.A.M. Featuring Lil Yachty,12,5,27,12-31-2016
18,Scars To Your Beautiful,Alessia Cara,13,13,16,12-31-2016
19,Starving,Hailee Steinfeld & Grey Featuring Zedd,14,12,20,12-31-2016
20,All I Want For Christmas Is You,Mariah Carey,17,11,17,12-31-2016
21,Change,J. Cole,,21,1,12-31-2016
22,She's Mine Pt.1,J. Cole,,22,1,12-31-2016
23,For Whom The Bell Tolls,J. Cole,,23,1,12-31-2016
24,Ville Mentality,J. Cole,,24,1,12-31-2016
25,I Hate U I Love U,gnash Featuring Olivia O'Brien,16,10,35,12-31-2016
26,Bad And Boujee,Migos Featuring Lil Uzi Vert,24,24,5,12-31-2016
27,Love On The Brain,Rihanna,20,20,9,12-31-2016
28,The Greatest,Sia Featuring Kendrick Lamar,18,18,15,12-31-2016
29,4 Your Eyez Only,J. Cole,,29,1,12-31-2016
30,Foldin Clothes,J. Cole,,30,1,12-31-2016
31,Bounce Back,Big Sean,39,31,6,12-31-2016
32,Treat You Better,Shawn Mendes,19,6,28,12-31-2016
33,I Feel It Coming,The Weeknd Featuring Daft Punk,28,22,4,12-31-2016
34,She's Mine Pt. 2,J. Cole,,34,1,12-31-2016
35,In The Name Of Love,Martin Garrix & Bebe Rexha,25,24,18,12-31-2016
36,All Time Low,Jon Bellion,33,32,10,12-31-2016
37,Love Me Now,John Legend,23,23,8,12-31-2016
38,Blue Ain't Your Color,Keith Urban,30,24,14,12-31-2016
39,Can't Stop The Feeling!,Justin Timberlake,32,1,32,12-31-2016
40,Cold Water,Major Lazer Featuring Justin Bieber & MO,21,2,21,12-31-2016
41,Cheap Thrills,Sia Featuring Sean Paul,26,1,44,12-31-2016
42,Unsteady,X Ambassadors,22,20,31,12-31-2016
43,Don't Let Me Down,The Chainsmokers Featuring Daya,31,3,44,12-31-2016
44,Mercy,Shawn Mendes,38,35,13,12-31-2016
45,Hallelujah,Pentatonix,45,32,8,12-31-2016
46,Jingle Bell Rock,Bobby Helms,35,35,18,12-31-2016
47,OOOUUU,Young M.A,27,19,16,12-31-2016
48,Rockin' Around The Christmas Tree,Brenda Lee,37,14,17,12-31-2016
49,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,34,29,20,12-31-2016
50,This Town,Niall Horan,41,25,12,12-31-2016
51,X,21 Savage & Metro Boomin Featuring Future,43,36,14,12-31-2016
52,Just Hold On,Steve Aoki & Louis Tomlinson,,52,1,12-31-2016
53,Party Monster,The Weeknd,29,16,4,12-31-2016
54,False Prophets,J. Cole,93,54,2,12-31-2016
55,No Heart,21 Savage & Metro Boomin,57,55,8,12-31-2016
56,May We All,Florida Georgia Line Featuring Tim McGraw,42,30,16,12-31-2016
57,Everybody Dies,J. Cole,,57,1,12-31-2016
58,You Was Right,Lil Uzi Vert,49,49,23,12-31-2016
59,Wanna Be That Song,Brett Eldredge,53,53,11,12-31-2016
60,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",44,27,19,12-31-2016
61,Water Under The Bridge,Adele,58,58,6,12-31-2016
62,Million Reasons,Lady Gaga,52,52,6,12-31-2016
63,Come And See Me,PARTYNEXTDOOR Featuring Drake,56,55,24,12-31-2016
64,Used To This,Future Featuring Drake,51,14,6,12-31-2016
65,Say You Won't Let Go,James Arthur,60,60,8,12-31-2016
66,How Far I'll Go,Auli'i Cravalho,70,52,3,12-31-2016
67,Darlin' Don't Go,Sundance Head,,67,1,12-31-2016
68,Better Man,Little Big Town,67,53,7,12-31-2016
69,Song For Another Time,Old Dominion,59,59,12,12-31-2016
70,Dirty Laundry,Carrie Underwood,69,69,9,12-31-2016
71,Chantaje,Shakira Featuring Maluma,79,71,5,12-31-2016
72,Sneakin',Drake Featuring 21 Savage,63,28,8,12-31-2016
73,1 Night,Lil Yachty,72,49,19,12-31-2016
74,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,64,61,17,12-31-2016
75,Redbone,Childish Gambino,48,48,3,12-31-2016
76,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,62,43,18,12-31-2016
77,Deja Vu,Post Malone Featuring Justin Bieber,,75,2,12-31-2016
78,Reminder,The Weeknd,50,31,3,12-31-2016
79,A Guy With A Girl,Blake Shelton,81,79,5,12-31-2016
80,HandClap,Fitz And The Tantrums,75,63,12,12-31-2016
81,Six Feet Under,The Weeknd,55,34,3,12-31-2016
82,Sidewalks,The Weeknd Featuring Kendrick Lamar,54,27,3,12-31-2016
83,Congratulations,Post Malone Featuring Quavo,,83,1,12-31-2016
84,Star Of The Show,Thomas Rhett,85,82,7,12-31-2016
85,How I'll Always Be,Tim McGraw,88,85,9,12-31-2016
86,Sleep Without You,Brett Young,74,47,14,12-31-2016
87,Play That Song,Train,77,77,3,12-31-2016
88,Fresh Eyes,Andy Grammer,73,59,11,12-31-2016
89,At Last,Sundance Head,,89,1,12-31-2016
90,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,100,90,2,12-31-2016
91,Setting The World On Fire,Kenny Chesney Featuring P!nk,87,29,20,12-31-2016
92,Dirt On My Boots,Jon Pardi,95,92,2,12-31-2016
93,Die For You,The Weeknd,71,43,3,12-31-2016
94,How Far I'll Go,Alessia Cara,,88,2,12-31-2016
95,All We Know,The Chainsmokers Featuring Phoebe Ryan,89,18,11,12-31-2016
96,Selfish,PnB Rock,90,81,6,12-31-2016
97,You're Welcome,Dwayne Johnson,92,83,3,12-31-2016
98,My Sh*t,A Boogie Wit da Hoodie,91,89,9,12-31-2016
99,Alone,Marshmello,94,93,3,12-31-2016
100,Sex With Me,Rihanna,98,92,8,12-31-2016
1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,1,13,12-24-2016
2,Starboy,The Weeknd Featuring Daft Punk,2,2,12,12-24-2016
3,Closer,The Chainsmokers Featuring Halsey,3,1,19,12-24-2016
4,24K Magic,Bruno Mars,5,4,9,12-24-2016
5,Side To Side,Ariana Grande Featuring Nicki Minaj,4,4,15,12-24-2016
6,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,6,5,11,12-24-2016
7,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,8,7,9,12-24-2016
8,Let Me Love You,DJ Snake Featuring Justin Bieber,7,4,18,12-24-2016
9,Heathens,twenty one pilots,9,2,25,12-24-2016
10,Bad Things,Machine Gun Kelly x Camila Cabello,17,10,6,12-24-2016
11,Fake Love,Drake,11,10,7,12-24-2016
12,Broccoli,D.R.A.M. Featuring Lil Yachty,10,5,26,12-24-2016
13,Scars To Your Beautiful,Alessia Cara,15,13,15,12-24-2016
14,Starving,Hailee Steinfeld & Grey Featuring Zedd,12,12,19,12-24-2016
15,Caroline,Amine,14,12,14,12-24-2016
16,I Hate U I Love U,gnash Featuring Olivia O'Brien,13,10,34,12-24-2016
17,All I Want For Christmas Is You,Mariah Carey,23,11,16,12-24-2016
18,The Greatest,Sia Featuring Kendrick Lamar,18,18,14,12-24-2016
19,Treat You Better,Shawn Mendes,20,6,27,12-24-2016
20,Love On The Brain,Rihanna,30,20,8,12-24-2016
21,Cold Water,Major Lazer Featuring Justin Bieber & MO,19,2,20,12-24-2016
22,Unsteady,X Ambassadors,21,20,30,12-24-2016
23,Love Me Now,John Legend,53,23,7,12-24-2016
24,Bad And Boujee,Migos Featuring Lil Uzi Vert,49,24,4,12-24-2016
25,In The Name Of Love,Martin Garrix & Bebe Rexha,28,24,17,12-24-2016
26,Cheap Thrills,Sia Featuring Sean Paul,24,1,43,12-24-2016
27,OOOUUU,Young M.A,26,19,15,12-24-2016
28,I Feel It Coming,The Weeknd Featuring Daft Punk,22,22,3,12-24-2016
29,Party Monster,The Weeknd,16,16,3,12-24-2016
30,Blue Ain't Your Color,Keith Urban,32,24,13,12-24-2016
31,Don't Let Me Down,The Chainsmokers Featuring Daya,29,3,43,12-24-2016
32,Can't Stop The Feeling!,Justin Timberlake,25,1,31,12-24-2016
33,All Time Low,Jon Bellion,35,32,9,12-24-2016
34,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,36,29,19,12-24-2016
35,Jingle Bell Rock,Bobby Helms,,35,17,12-24-2016
36,This Is What You Came For,Calvin Harris Featuring Rihanna,33,3,32,12-24-2016
37,Rockin' Around The Christmas Tree,Brenda Lee,,14,16,12-24-2016
38,Mercy,Shawn Mendes,50,35,12,12-24-2016
39,Bounce Back,Big Sean,51,39,5,12-24-2016
40,Ride,twenty one pilots,38,5,39,12-24-2016
41,This Town,Niall Horan,40,25,11,12-24-2016
42,May We All,Florida Georgia Line Featuring Tim McGraw,39,30,15,12-24-2016
43,X,21 Savage & Metro Boomin Featuring Future,41,36,13,12-24-2016
44,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",37,27,18,12-24-2016
45,Hallelujah,Pentatonix,56,32,7,12-24-2016
46,Needed Me,Rihanna,42,7,45,12-24-2016
47,One Dance,Drake Featuring WizKid & Kyla,45,1,36,12-24-2016
48,Redbone,Childish Gambino,,48,2,12-24-2016
49,You Was Right,Lil Uzi Vert,57,49,22,12-24-2016
50,Reminder,The Weeknd,31,31,2,12-24-2016
51,Used To This,Future Featuring Drake,54,14,5,12-24-2016
52,Million Reasons,Lady Gaga,,52,5,12-24-2016
53,Wanna Be That Song,Brett Eldredge,59,53,10,12-24-2016
54,Sidewalks,The Weeknd Featuring Kendrick Lamar,27,27,2,12-24-2016
55,Six Feet Under,The Weeknd,34,34,2,12-24-2016
56,Come And See Me,PARTYNEXTDOOR Featuring Drake,60,55,23,12-24-2016
57,No Heart,21 Savage & Metro Boomin,70,57,7,12-24-2016
58,Water Under The Bridge,Adele,78,58,5,12-24-2016
59,Song For Another Time,Old Dominion,64,59,11,12-24-2016
60,Say You Won't Let Go,James Arthur,76,60,7,12-24-2016
61,Tiimmy Turner,Desiigner,62,34,20,12-24-2016
62,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,58,43,17,12-24-2016
63,Sneakin',Drake Featuring 21 Savage,66,28,7,12-24-2016
64,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,73,61,16,12-24-2016
65,Black Barbies,Nicki Minaj X Mike WiLL Made-It,,65,1,12-24-2016
66,Secrets,The Weeknd,47,47,2,12-24-2016
67,Better Man,Little Big Town,80,53,6,12-24-2016
68,Me And Your Mama,Childish Gambino,,68,2,12-24-2016
69,Dirty Laundry,Carrie Underwood,79,69,8,12-24-2016
70,How Far I'll Go,Auli'i Cravalho,52,52,2,12-24-2016
71,Die For You,The Weeknd,43,43,2,12-24-2016
72,1 Night,Lil Yachty,75,49,18,12-24-2016
73,Fresh Eyes,Andy Grammer,65,59,10,12-24-2016
74,Sleep Without You,Brett Young,63,47,13,12-24-2016
75,HandClap,Fitz And The Tantrums,77,63,11,12-24-2016
76,Home,gnash Featuring Johnny Yukon,,76,1,12-24-2016
77,Play That Song,Train,,77,2,12-24-2016
78,True Colors,The Weeknd,48,48,2,12-24-2016
79,Chantaje,Shakira Featuring Maluma,90,77,4,12-24-2016
80,Middle Of A Memory,Cole Swindell,74,46,20,12-24-2016
81,A Guy With A Girl,Blake Shelton,92,81,4,12-24-2016
82,Rockin',The Weeknd,44,44,2,12-24-2016
83,All I Know,The Weeknd Featuring Future,46,46,2,12-24-2016
84,That's My Girl,Fifth Harmony,84,73,3,12-24-2016
85,Star Of The Show,Thomas Rhett,86,82,6,12-24-2016
86,False Alarm,The Weeknd,55,55,4,12-24-2016
87,Setting The World On Fire,Kenny Chesney Featuring P!nk,81,29,19,12-24-2016
