Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Don't Forget About Us,Mariah Carey,2,1,11,12-31-2005
2,Run It!,Chris Brown,1,1,19,12-31-2005
3,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",4,3,7,12-31-2005
4,Laffy Taffy,D4L,3,2,14,12-31-2005
5,Stickwitu,The Pussycat Dolls,7,5,11,12-31-2005
6,Photograph,Nickelback,5,2,17,12-31-2005
7,Gold Digger,Kanye West Featuring Jamie Foxx,6,1,23,12-31-2005
8,Check On It,Beyonce Featuring Slim Thug,18,8,7,12-31-2005
9,Because Of You,Kelly Clarkson,10,7,18,12-31-2005
10,There It Go! (The Whistle Song),Juelz Santana,12,10,12,12-31-2005
11,My Humps,The Black Eyed Peas,9,3,20,12-31-2005
12,One Wish,Ray J,16,12,13,12-31-2005
13,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,13,13,15,12-31-2005
14,Soul Survivor,Young Jeezy Featuring Akon,11,4,18,12-31-2005
15,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",17,15,15,12-31-2005
16,When I'm Gone,Eminem,8,8,6,12-31-2005
17,I'm Sprung,T-Pain,14,8,19,12-31-2005
18,Here We Go,Trina Featuring Kelly Rowland,20,17,13,12-31-2005
19,We Be Burnin',Sean Paul,15,6,16,12-31-2005
20,Be Without You,Mary J. Blige,25,20,6,12-31-2005
21,Hung Up,Madonna,19,7,9,12-31-2005
22,"Sugar, We're Goin' Down",Fall Out Boy,21,8,27,12-31-2005
23,You're Beautiful,James Blunt,22,22,8,12-31-2005
24,"Dance, Dance",Fall Out Boy,24,22,9,12-31-2005
25,Luxurious,Gwen Stefani,23,21,9,12-31-2005
26,So Sick,Ne-Yo,35,26,4,12-31-2005
27,Dirty Little Secret,The All-American Rejects,28,27,21,12-31-2005
28,Heard 'Em Say,Kanye West Featuring Adam Levine,26,26,10,12-31-2005
29,You And Me,Lifehouse,29,5,46,12-31-2005
30,Feel Good Inc,Gorillaz,33,14,32,12-31-2005
31,"Jesus, Take The Wheel",Carrie Underwood,42,31,7,12-31-2005
32,Fireman,Lil Wayne,36,32,7,12-31-2005
33,Wake Me Up When September Ends,Green Day,30,6,22,12-31-2005
34,I Should Have Cheated,Keyshia Cole,31,30,13,12-31-2005
35,Kryptonite (I'm On It),Purple Ribbon All-Stars,43,35,6,12-31-2005
36,If It's Lovin' That You Want,Rihanna,38,36,11,12-31-2005
37,Beverly Hills,Weezer,37,10,38,12-31-2005
38,Honky Tonk Badonkadonk,Trace Adkins,46,38,9,12-31-2005
39,Must Be Doin' Somethin' Right,Billy Currington,44,39,11,12-31-2005
40,Come A Little Closer,Dierks Bentley,39,31,15,12-31-2005
41,Shake It Off,Mariah Carey,32,2,23,12-31-2005
42,Girl Tonite,Twista Featuring Trey Songz,34,14,17,12-31-2005
43,Turn It Up,Chamillionaire Featuring Lil' Flip,48,43,9,12-31-2005
44,Tequila Makes Her Clothes Fall Off,Joe Nichols,41,32,12,12-31-2005
45,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,45,2,35,12-31-2005
46,Window Shopper,50 Cent,27,20,8,12-31-2005
47,Unpredictable,Jamie Foxx Featuring Ludacris,58,47,5,12-31-2005
48,Georgia,Ludacris & Field Mob Featuring Jamie Foxx,,48,1,12-31-2005
49,Unbreakable,Alicia Keys,40,34,14,12-31-2005
50,We Belong Together,Mariah Carey,49,1,38,12-31-2005
51,Unwritten,Natasha Bedingfield,60,51,4,12-31-2005
52,Shake That,Eminem Featuring Nate Dogg,76,52,2,12-31-2005
53,Like We Never Loved At All,Faith Hill,51,45,13,12-31-2005
54,She Let Herself Go,George Strait,54,54,9,12-31-2005
55,Everytime We Touch,Cascada,62,55,3,12-31-2005
