Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Hey Ya!,OutKast,1,1,11,12-27-2003
2,The Way You Move,OutKast Featuring Sleepy Brown,2,2,14,12-27-2003
3,Milkshake,Kelis,4,3,13,12-27-2003
4,Stand Up,Ludacris Featuring Shawnna,3,1,17,12-27-2003
5,You Don't Know My Name,Alicia Keys,9,5,7,12-27-2003
6,Walked Outta Heaven,Jagged Edge,6,6,17,12-27-2003
7,Here Without You,3 Doors Down,5,5,18,12-27-2003
8,Suga Suga,Baby Bash Featuring Frankie J,7,7,19,12-27-2003
9,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,8,3,15,12-27-2003
10,Change Clothes,JAY-Z,13,10,7,12-27-2003
11,Step In The Name Of Love,R. Kelly,10,9,19,12-27-2003
12,Baby Boy,Beyonce Featuring Sean Paul,11,1,20,12-27-2003
13,Damn!,YoungBloodZ Featuring Lil Jon,12,4,21,12-27-2003
14,It's My Life,No Doubt,16,14,9,12-27-2003
15,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,14,2,35,12-27-2003
16,Someday,Nickelback,18,16,19,12-27-2003
17,"Me, Myself And I",Beyonce,22,17,7,12-27-2003
18,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,26,18,4,12-27-2003
19,Read Your Mind,Avant,20,19,13,12-27-2003
20,Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,19,19,11,12-27-2003
21,Stunt 101,G Unit,15,13,9,12-27-2003
22,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,21,8,23,12-27-2003
23,Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,17,17,12,12-27-2003
24,Perfect,Simple Plan,24,24,9,12-27-2003
25,Headstrong,Trapt,23,16,36,12-27-2003
26,White Flag,Dido,28,26,15,12-27-2003
27,Numb,Linkin Park,31,27,8,12-27-2003
28,So Far Away,Staind,27,24,22,12-27-2003
29,There Goes My Life,Kenny Chesney,34,29,8,12-27-2003
30,The First Cut Is The Deepest,Sheryl Crow,37,30,10,12-27-2003
31,Bright Lights,matchbox twenty,25,23,14,12-27-2003
32,Why Can't I?,Liz Phair,32,32,15,12-27-2003
33,Gigolo,Nick Cannon Featuring R. Kelly,41,33,7,12-27-2003
34,Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,45,34,7,12-27-2003
35,Right Thurr,Chingy,29,2,33,12-27-2003
36,The Voice Within,Christina Aguilera,40,36,5,12-27-2003
37,Harder To Breathe,Maroon 5,33,18,19,12-27-2003
38,(There's Gotta Be) More To Life,Stacie Orrico,30,30,15,12-27-2003
39,Through The Wire,Kanye West,52,39,5,12-27-2003
40,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",35,1,27,12-27-2003
41,I Love This Bar,Toby Keith,36,26,17,12-27-2003
42,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,42,42,8,12-27-2003
43,Invisible,Clay Aiken,43,43,6,12-27-2003
44,Remember When,Alan Jackson,47,44,3,12-27-2003
45,Breathe,Michelle Branch,39,36,8,12-27-2003
46,Cowboys Like Us,George Strait,38,38,13,12-27-2003
47,Not Today,Mary J. Blige Featuring Eve,49,47,3,12-27-2003
48,Unwell,matchbox twenty,46,5,41,12-27-2003
49,More & More,Joe,55,48,6,12-27-2003
50,Rain On Me,Ashanti,44,7,18,12-27-2003
51,Fallen,Sarah McLachlan,51,51,10,12-27-2003
52,Gangsta Nation,Westside Connection Featuring Nate Dogg,62,52,4,12-27-2003
