Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Empire State Of Mind,Jay-Z + Alicia Keys,1,1,14,12-26-2009
2,TiK ToK,Ke$ha,3,2,10,12-26-2009
3,Bad Romance,Lady Gaga,2,2,7,12-26-2009
4,Replay,Iyaz,4,4,17,12-26-2009
5,Fireflies,Owl City,5,1,17,12-26-2009
6,Sexy Chick,David Guetta Featuring Akon,7,6,19,12-26-2009
7,Whatcha Say,Jason Derulo,6,1,18,12-26-2009
8,Meet Me Halfway,The Black Eyed Peas,8,7,13,12-26-2009
9,3,Britney Spears,9,1,10,12-26-2009
10,Down,Jay Sean Featuring Lil Wayne,10,1,24,12-26-2009
11,Paparazzi,Lady Gaga,11,6,16,12-26-2009
12,Sweet Dreams,Beyonce,12,10,21,12-26-2009
13,How Low,Ludacris,,13,1,12-26-2009
14,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",15,8,13,12-26-2009
15,Already Gone,Kelly Clarkson,13,13,20,12-26-2009
16,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,19,16,6,12-26-2009
17,Party In The U.S.A.,Miley Cyrus,14,2,18,12-26-2009
18,I Gotta Feeling,The Black Eyed Peas,17,1,27,12-26-2009
19,Need You Now,Lady Antebellum,16,5,18,12-26-2009
20,BedRock,Young Money Featuring Lloyd,24,20,3,12-26-2009
21,Hard,Rihanna Featuring Jeezy,20,19,4,12-26-2009
22,You Belong With Me,Taylor Swift,18,2,34,12-26-2009
23,Use Somebody,Kings Of Leon,21,4,46,12-26-2009
24,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,22,20,10,12-26-2009
25,Evacuate The Dancefloor,Cascada,25,25,18,12-26-2009
26,Money To Blow,Birdman Featuring Lil Wayne & Drake,26,26,10,12-26-2009
27,Fifteen,Taylor Swift,23,23,15,12-26-2009
28,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,32,28,8,12-26-2009
29,Baby By Me,50 Cent Featuring Ne-Yo,31,28,7,12-26-2009
30,Cowboy Casanova,Carrie Underwood,28,11,13,12-26-2009
31,Carry Out,Timbaland Featuring Justin Timberlake,75,31,2,12-26-2009
32,Run This Town,"Jay-Z, Rihanna & Kanye West",27,2,20,12-26-2009
33,Tie Me Down,New Boyz Featuring Ray J,37,33,9,12-26-2009
34,Give It Up To Me,Shakira Featuring Lil Wayne,29,29,5,12-26-2009
35,Gangsta Luv,Snoop Dogg Featuring The-Dream,39,35,8,12-26-2009
36,Live Like We're Dying,Kris Allen,44,36,7,12-26-2009
37,Do I,Luke Bryan,35,34,15,12-26-2009
38,Say Aah,Trey Songz Featuring Fabolous,40,38,5,12-26-2009
39,Fallin' For You,Colbie Caillat,33,12,24,12-26-2009
40,Consider Me Gone,Reba,38,38,11,12-26-2009
41,One Time,Justin Bieber,34,20,21,12-26-2009
42,Spotlight,Gucci Mane Featuring Usher,48,42,7,12-26-2009
43,I Invented Sex,Trey Songz Featuring Drake,43,43,8,12-26-2009
44,Russian Roulette,Rihanna,30,9,8,12-26-2009
45,"Hey, Soul Sister",Train,45,45,11,12-26-2009
46,Telephone,Lady Gaga Featuring Beyonce,41,30,3,12-26-2009
47,If You Only Knew,Shinedown,42,42,7,12-26-2009
48,The Truth,Jason Aldean,47,47,6,12-26-2009
49,White Liar,Miranda Lambert,46,38,9,12-26-2009
50,Southern Voice,Tim McGraw,49,49,8,12-26-2009
51,My Life Would Suck Without You,Glee Cast,,51,1,12-26-2009
52,I Wanna Make You Close Your Eyes,Dierks Bentley,52,52,11,12-26-2009
53,Don't Rain On My Parade,Glee Cast,,53,1,12-26-2009
54,It Kills Me,Melanie Fiona,56,54,4,12-26-2009
55,According To You,Orianthi,67,55,2,12-26-2009
56,Try Sleeping With A Broken Heart,Alicia Keys,51,42,4,12-26-2009
57,Papers,Usher,36,31,9,12-26-2009
58,Smile,Uncle Kracker,53,47,19,12-26-2009
59,Red Light,David Nail,54,54,12,12-26-2009
60,Crawl,Chris Brown,65,60,3,12-26-2009
61,Never Gonna Be Alone,Nickelback,62,61,7,12-26-2009
62,On Fire,Lil Wayne,,62,1,12-26-2009
63,In My Head,Jason Derulo,,63,1,12-26-2009
64,Life After You,Daughtry,66,64,2,12-26-2009
65,Bonfire,Craig Morgan,57,57,12,12-26-2009
66,Uprising,Muse,59,37,14,12-26-2009
67,I Am,Mary J. Blige,,67,1,12-26-2009
68,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,58,36,15,12-26-2009
69,Body Language,Jesse McCartney Featuring T-Pain,50,35,11,12-26-2009
70,History In The Making,Darius Rucker,64,64,7,12-26-2009
71,You Can't Always Get What You Want,Glee Cast,,71,1,12-26-2009
72,This Is War,Thirty Seconds To Mars,,72,1,12-26-2009
73,One Less Lonely Girl,Justin Bieber,74,16,9,12-26-2009
74,Haven't Met You Yet,Michael Buble,68,57,11,12-26-2009
75,Why Don't We Just Dance,Josh Turner,76,75,5,12-26-2009
76,Someday,Rob Thomas,72,72,6,12-26-2009
77,Eight Second Ride,Jake Owen,70,70,6,12-26-2009
78,Bad Habits,Maxwell,71,71,12,12-26-2009
79,All The Right Moves,OneRepublic,77,53,10,12-26-2009
80,I Wanna Rock,Snoop Dogg,,80,1,12-26-2009
81,I Will Not Bow,Breaking Benjamin,78,40,15,12-26-2009
82,Kings And Queens,Thirty Seconds To Mars,94,82,3,12-26-2009
83,Shut It Down,Pitbull Featuring Akon,85,83,2,12-26-2009
84,Break,Three Days Grace,82,82,14,12-26-2009
85,That's How Country Boys Roll,Billy Currington,87,85,3,12-26-2009
86,Gettin' You Home,Chris Young,80,33,18,12-26-2009
87,1901,Phoenix,90,87,2,12-26-2009
88,What I Do,Chris Brown Featuring Plies,,88,1,12-26-2009
89,Last Christmas,Glee Cast,63,63,2,12-26-2009
90,American Saturday Night,Brad Paisley,100,90,2,12-26-2009
91,Cryin' For Me (Wayman's Song),Toby Keith,97,91,2,12-26-2009
92,I Get It In,Omarion Featuring Gucci Mane,83,83,6,12-26-2009
93,Breakeven,The Script,96,93,2,12-26-2009
94,And I Am Telling You I'm Not Going,Glee Cast,,94,1,12-26-2009
95,(If You're Wondering If I Want You To) I Want You To,Weezer,86,81,7,12-26-2009
96,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,84,40,13,12-26-2009
97,Video Phone,Beyonce Featuring Lady Gaga,81,65,3,12-26-2009
98,Drop It Low,Ester Dean Featuring Chris Brown,92,38,14,12-26-2009
99,Halfway Gone,Lifehouse,,99,1,12-26-2009
100,Twang,George Strait,,100,1,12-26-2009
1,Empire State Of Mind,Jay-Z + Alicia Keys,1,1,13,12-19-2009
2,Bad Romance,Lady Gaga,2,2,6,12-19-2009
3,TiK ToK,Ke$ha,3,3,9,12-19-2009
4,Replay,Iyaz,5,4,16,12-19-2009
5,Fireflies,Owl City,4,1,16,12-19-2009
6,Whatcha Say,Jason Derulo,6,1,17,12-19-2009
7,Sexy Chick,David Guetta Featuring Akon,8,7,18,12-19-2009
8,Meet Me Halfway,The Black Eyed Peas,7,7,12,12-19-2009
