Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,20,07-27-2019
2,Bad Guy,Billie Eilish,2,2,16,07-27-2019
3,I Don't Care,Ed Sheeran & Justin Bieber,6,2,10,07-27-2019
4,Senorita,Shawn Mendes & Camila Cabello,5,2,4,07-27-2019
5,Talk,Khalid,4,3,23,07-27-2019
6,Truth Hurts,Lizzo,7,6,11,07-27-2019
7,Goodbyes,Post Malone Featuring Young Thug,3,3,2,07-27-2019
8,Sucker,Jonas Brothers,8,1,20,07-27-2019
9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,9,1,39,07-27-2019
10,No Guidance,Chris Brown Featuring Drake,12,9,6,07-27-2019
11,Suge,DaBaby,10,7,16,07-27-2019
12,Money In The Grave,Drake Featuring Rick Ross,11,7,5,07-27-2019
13,If I Can't Have You,Shawn Mendes,14,2,11,07-27-2019
14,Wow.,Post Malone,13,2,30,07-27-2019
15,You Need To Calm Down,Taylor Swift,16,2,5,07-27-2019
16,"Hey Look Ma, I Made It",Panic! At The Disco,18,16,14,07-27-2019
17,Dancing With A Stranger,Sam Smith & Normani,15,7,27,07-27-2019
18,The Git Up,Blanco Brown,19,16,6,07-27-2019
19,Beautiful People,Ed Sheeran Featuring Khalid,40,19,3,07-27-2019
20,God's Country,Blake Shelton,17,17,16,07-27-2019
21,Without Me,Halsey,20,1,41,07-27-2019
22,Pop Out,Polo G Featuring Lil Tjay,21,11,17,07-27-2019
23,Ran$om,Lil Tecca,26,23,7,07-27-2019
24,Beer Never Broke My Heart,Luke Combs,23,22,11,07-27-2019
25,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,41,25,8,07-27-2019
26,Someone You Loved,Lewis Capaldi,36,26,10,07-27-2019
27,Happier,Marshmello & Bastille,22,2,48,07-27-2019
28,The London,"Young Thug, J. Cole & Travis Scott",29,12,8,07-27-2019
29,Panini,Lil Nas X,27,16,4,07-27-2019
30,7 Rings,Ariana Grande,24,1,26,07-27-2019
31,Sweet But Psycho,Ava Max,25,10,31,07-27-2019
32,Never Really Over,Katy Perry,31,15,7,07-27-2019
33,Whiskey Glasses,Morgan Wallen,28,17,20,07-27-2019
34,Speechless,Dan + Shay,34,24,30,07-27-2019
35,High Hopes,Panic! At The Disco,33,4,50,07-27-2019
36,Shotta Flow,NLE Choppa,38,36,13,07-27-2019
37,Antisocial,Ed Sheeran & Travis Scott,,37,1,07-27-2019
38,Act Up,City Girls,30,26,20,07-27-2019
39,Rumor,Lee Brice,35,25,19,07-27-2019
40,Middle Child,J. Cole,32,4,26,07-27-2019
41,Knockin' Boots,Luke Bryan,48,41,12,07-27-2019
42,Going Bad,Meek Mill Featuring Drake,42,6,33,07-27-2019
43,Some Of It,Eric Church,49,43,8,07-27-2019
44,Better,Khalid,47,8,44,07-27-2019
45,Pure Water,Mustard & Migos,39,23,25,07-27-2019
46,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,43,22,24,07-27-2019
47,My Type,Saweetie,67,47,3,07-27-2019
48,Shallow,Lady Gaga & Bradley Cooper,45,1,42,07-27-2019
49,Sicko Mode,Travis Scott,50,1,50,07-27-2019
50,Clout,Offset Featuring Cardi B,62,39,15,07-27-2019
51,All To Myself,Dan + Shay,57,51,11,07-27-2019
52,GIRL,Maren Morris,59,52,20,07-27-2019
53,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,,53,1,07-27-2019
54,Go Loko,"YG, Tyga & Jon Z",53,49,11,07-27-2019
55,ME!,Taylor Swift Featuring Brendon Urie,52,2,13,07-27-2019
56,Just Us,DJ Khaled Featuring SZA,56,43,9,07-27-2019
57,Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,,57,1,07-27-2019
58,Worth It,YK Osiris,61,52,22,07-27-2019
59,Nightmare,Halsey,54,15,9,07-27-2019
60,Rodeo,Lil Nas X & Cardi B,51,22,4,07-27-2019
61,Cash Shit,Megan Thee Stallion Featuring DaBaby,74,61,4,07-27-2019
62,Rearview Town,Jason Aldean,69,62,8,07-27-2019
63,Easier,5 Seconds Of Summer,66,48,8,07-27-2019
64,Press,Cardi B,58,16,7,07-27-2019
65,Earfquake,"Tyler, The Creator",55,13,9,07-27-2019
66,Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",44,44,2,07-27-2019
67,Callaita,Bad Bunny & Tainy,73,67,6,07-27-2019
68,Call You Mine,The Chainsmokers & Bebe Rexha,72,67,7,07-27-2019
69,Walk Me Home,P!nk,70,49,20,07-27-2019
70,Talk You Out Of It,Florida Georgia Line,77,70,22,07-27-2019
71,Look What God Gave Her,Thomas Rhett,65,32,20,07-27-2019
72,Trampoline,SHAED,78,72,7,07-27-2019
73,BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,60,60,2,07-27-2019
74,It's You,Ali Gatie,76,70,5,07-27-2019
75,Cool,Jonas Brothers,63,27,15,07-27-2019
76,Lalala,Y2K & bbno$,68,68,3,07-27-2019
77,The Ones That Didn't Make It Back Home,Justin Moore,84,77,5,07-27-2019
78,Raised On Country,Chris Young,80,78,7,07-27-2019
79,La La Land,Bryce Vine Featuring YG,81,79,7,07-27-2019
80,Soltera,"Lunay, Daddy Yankee & Bad Bunny",82,73,10,07-27-2019
81,24/7,Meek Mill Featuring Ella Mai,83,54,15,07-27-2019
82,One Thing Right,Marshmello & Kane Brown,79,57,4,07-27-2019
83,Tip Of My Tongue,Kenny Chesney,,83,1,07-27-2019
84,Otro Trago,Sech Featuring Darell,91,81,6,07-27-2019
85,Before I Let Go,Beyonce,87,65,13,07-27-2019
86,Calma,Pedro Capo X Farruko,86,71,18,07-27-2019
87,Only Human,Jonas Brothers,100,87,5,07-27-2019
88,No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",95,88,2,07-27-2019
89,Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",,89,1,07-27-2019
90,Like A Rodeo,Kane Brown,,90,1,07-27-2019
91,I Don't Know About You,Chris Lane,98,91,2,07-27-2019
92,Time,NF,,92,1,07-27-2019
93,Tap,NAV Featuring Meek Mill,96,89,6,07-27-2019
94,Love Ain't,Eli Young Band,88,50,14,07-27-2019
95,Sanguine Paradise,Lil Uzi Vert,89,28,14,07-27-2019
96,Southbound,Carrie Underwood,,96,1,07-27-2019
97,Que Pretendes,J Balvin & Bad Bunny,94,65,3,07-27-2019
98,Spirit,Beyonce,,98,1,07-27-2019
99,Best Part Of Me,Ed Sheeran Featuring YEBBA,,99,1,07-27-2019
100,Wake Up,Travis Scott,93,30,7,07-27-2019
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,19,07-20-2019
2,Bad Guy,Billie Eilish,2,2,15,07-20-2019
3,Goodbyes,Post Malone Featuring Young Thug,,3,1,07-20-2019
4,Talk,Khalid,3,3,22,07-20-2019
5,Senorita,Shawn Mendes & Camila Cabello,5,2,3,07-20-2019
6,I Don't Care,Ed Sheeran & Justin Bieber,4,2,9,07-20-2019
7,Truth Hurts,Lizzo,6,6,10,07-20-2019
8,Sucker,Jonas Brothers,7,1,19,07-20-2019
9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,8,1,38,07-20-2019
10,Suge,DaBaby,10,7,15,07-20-2019
11,Money In The Grave,Drake Featuring Rick Ross,11,7,4,07-20-2019
12,No Guidance,Chris Brown Featuring Drake,9,9,5,07-20-2019
13,Wow.,Post Malone,12,2,29,07-20-2019
14,If I Can't Have You,Shawn Mendes,14,2,10,07-20-2019
15,Dancing With A Stranger,Sam Smith & Normani,15,7,26,07-20-2019
16,You Need To Calm Down,Taylor Swift,13,2,4,07-20-2019
17,God's Country,Blake Shelton,17,17,15,07-20-2019
18,"Hey Look Ma, I Made It",Panic! At The Disco,18,18,13,07-20-2019
19,The Git Up,Blanco Brown,16,16,5,07-20-2019
20,Without Me,Halsey,19,1,40,07-20-2019
21,Pop Out,Polo G Featuring Lil Tjay,20,11,16,07-20-2019
22,Happier,Marshmello & Bastille,25,2,47,07-20-2019
23,Beer Never Broke My Heart,Luke Combs,24,22,10,07-20-2019
24,7 Rings,Ariana Grande,23,1,25,07-20-2019
25,Sweet But Psycho,Ava Max,21,10,30,07-20-2019
26,Ran$om,Lil Tecca,35,26,6,07-20-2019
27,Panini,Lil Nas X,22,16,3,07-20-2019
28,Whiskey Glasses,Morgan Wallen,27,17,19,07-20-2019
29,The London,"Young Thug, J. Cole & Travis Scott",31,12,7,07-20-2019
30,Act Up,City Girls,30,26,19,07-20-2019
31,Never Really Over,Katy Perry,28,15,6,07-20-2019
32,Middle Child,J. Cole,43,4,25,07-20-2019
33,High Hopes,Panic! At The Disco,33,4,49,07-20-2019
34,Speechless,Dan + Shay,34,24,29,07-20-2019
35,Rumor,Lee Brice,32,25,18,07-20-2019
36,Someone You Loved,Lewis Capaldi,46,36,9,07-20-2019
37,Eastside,"benny blanco, Halsey & Khalid",36,9,52,07-20-2019
38,Shotta Flow,NLE Choppa,45,38,12,07-20-2019
39,Pure Water,Mustard & Migos,29,23,24,07-20-2019
40,Beautiful People,Ed Sheeran Featuring Khalid,26,26,2,07-20-2019
41,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,37,34,7,07-20-2019
42,Going Bad,Meek Mill Featuring Drake,40,6,32,07-20-2019
43,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,41,22,23,07-20-2019
44,Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",,44,1,07-20-2019
45,Shallow,Lady Gaga & Bradley Cooper,49,1,41,07-20-2019
46,Look Back At It,A Boogie Wit da Hoodie,48,27,31,07-20-2019
47,Better,Khalid,47,8,43,07-20-2019
48,Knockin' Boots,Luke Bryan,50,48,11,07-20-2019
49,Some Of It,Eric Church,55,49,7,07-20-2019
50,Sicko Mode,Travis Scott,44,1,49,07-20-2019
51,Rodeo,Lil Nas X & Cardi B,38,22,3,07-20-2019
52,ME!,Taylor Swift Featuring Brendon Urie,39,2,12,07-20-2019
53,Go Loko,"YG, Tyga & Jon Z",53,49,10,07-20-2019
54,Nightmare,Halsey,54,15,8,07-20-2019
55,Earfquake,"Tyler, The Creator",52,13,8,07-20-2019
56,Just Us,DJ Khaled Featuring SZA,58,43,8,07-20-2019
57,All To Myself,Dan + Shay,59,57,10,07-20-2019
58,Press,Cardi B,42,16,6,07-20-2019
59,GIRL,Maren Morris,61,59,19,07-20-2019
60,BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,,60,1,07-20-2019
61,Worth It,YK Osiris,60,52,21,07-20-2019
62,Clout,Offset Featuring Cardi B,56,39,14,07-20-2019
63,Cool,Jonas Brothers,57,27,14,07-20-2019
64,Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",,64,2,07-20-2019
65,Look What God Gave Her,Thomas Rhett,51,32,19,07-20-2019
66,Easier,5 Seconds Of Summer,66,48,7,07-20-2019
67,My Type,Saweetie,81,67,2,07-20-2019
68,Lalala,Y2K & bbno$,84,68,2,07-20-2019
69,Rearview Town,Jason Aldean,68,68,7,07-20-2019
70,Walk Me Home,P!nk,64,49,19,07-20-2019
71,Good As You,Kane Brown,62,36,20,07-20-2019
72,Call You Mine,The Chainsmokers & Bebe Rexha,74,67,6,07-20-2019
73,Callaita,Bad Bunny & Tainy,69,68,5,07-20-2019
74,Cash Shit,Megan Thee Stallion Featuring DaBaby,86,74,3,07-20-2019
75,Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",,75,1,07-20-2019
76,It's You,Ali Gatie,73,70,4,07-20-2019
77,Talk You Out Of It,Florida Georgia Line,75,73,21,07-20-2019
78,Trampoline,SHAED,89,77,6,07-20-2019
79,One Thing Right,Marshmello & Kane Brown,76,57,3,07-20-2019
80,Raised On Country,Chris Young,79,79,6,07-20-2019
81,La La Land,Bryce Vine Featuring YG,85,81,6,07-20-2019
82,Soltera,"Lunay, Daddy Yankee & Bad Bunny",77,73,9,07-20-2019
83,24/7,Meek Mill Featuring Ella Mai,82,54,14,07-20-2019
84,The Ones That Didn't Make It Back Home,Justin Moore,95,84,4,07-20-2019
85,Out The Mud,Lil Baby Featuring Future,70,70,3,07-20-2019
86,Calma,Pedro Capo X Farruko,87,71,17,07-20-2019
87,Before I Let Go,Beyonce,80,65,12,07-20-2019
88,Love Ain't,Eli Young Band,91,50,13,07-20-2019
89,Sanguine Paradise,Lil Uzi Vert,96,28,13,07-20-2019
90,Girls Need Love,Summer Walker X Drake,90,37,20,07-20-2019
91,Otro Trago,Sech Featuring Darell,93,81,5,07-20-2019
92,Mother's Daughter,Miley Cyrus,83,54,3,07-20-2019
93,Wake Up,Travis Scott,94,30,6,07-20-2019
94,Que Pretendes,J Balvin & Bad Bunny,65,65,2,07-20-2019
95,No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",,95,1,07-20-2019
96,Tap,NAV Featuring Meek Mill,99,89,5,07-20-2019
97,MEGATRON,Nicki Minaj,92,20,3,07-20-2019
98,I Don't Know About You,Chris Lane,,98,1,07-20-2019
99,Ocean Eyes,Billie Eilish,100,84,20,07-20-2019
100,Only Human,Jonas Brothers,,91,4,07-20-2019
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,18,07-13-2019
2,Bad Guy,Billie Eilish,3,2,14,07-13-2019
3,Talk,Khalid,4,3,21,07-13-2019
4,I Don't Care,Ed Sheeran & Justin Bieber,5,2,8,07-13-2019
5,Senorita,Shawn Mendes & Camila Cabello,2,2,2,07-13-2019
6,Truth Hurts,Lizzo,11,6,9,07-13-2019
7,Sucker,Jonas Brothers,6,1,18,07-13-2019
8,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,12,1,37,07-13-2019
9,No Guidance,Chris Brown Featuring Drake,9,9,4,07-13-2019
10,Suge,DaBaby,7,7,14,07-13-2019
11,Money In The Grave,Drake Featuring Rick Ross,8,7,3,07-13-2019
12,Wow.,Post Malone,10,2,28,07-13-2019
13,You Need To Calm Down,Taylor Swift,13,2,3,07-13-2019
14,If I Can't Have You,Shawn Mendes,14,2,9,07-13-2019
15,Dancing With A Stranger,Sam Smith & Normani,15,7,25,07-13-2019
16,The Git Up,Blanco Brown,29,16,4,07-13-2019
17,God's Country,Blake Shelton,18,17,14,07-13-2019
18,"Hey Look Ma, I Made It",Panic! At The Disco,24,18,12,07-13-2019
19,Without Me,Halsey,17,1,39,07-13-2019
20,Pop Out,Polo G Featuring Lil Tjay,19,11,15,07-13-2019
21,Sweet But Psycho,Ava Max,21,10,29,07-13-2019
22,Panini,Lil Nas X,16,16,2,07-13-2019
23,7 Rings,Ariana Grande,23,1,24,07-13-2019
24,Beer Never Broke My Heart,Luke Combs,33,22,9,07-13-2019
25,Happier,Marshmello & Bastille,25,2,46,07-13-2019
26,Beautiful People,Ed Sheeran Featuring Khalid,,26,1,07-13-2019
27,Whiskey Glasses,Morgan Wallen,28,17,18,07-13-2019
28,Never Really Over,Katy Perry,27,15,5,07-13-2019
29,Pure Water,Mustard & Migos,38,23,23,07-13-2019
30,Act Up,City Girls,34,26,18,07-13-2019
31,The London,"Young Thug, J. Cole & Travis Scott",30,12,6,07-13-2019
32,Rumor,Lee Brice,26,25,17,07-13-2019
33,High Hopes,Panic! At The Disco,32,4,48,07-13-2019
34,Speechless,Dan + Shay,44,24,28,07-13-2019
35,Ran$om,Lil Tecca,51,35,5,07-13-2019
36,Eastside,"benny blanco, Halsey & Khalid",35,9,51,07-13-2019
37,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,39,34,6,07-13-2019
38,Rodeo,Lil Nas X & Cardi B,22,22,2,07-13-2019
39,ME!,Taylor Swift Featuring Brendon Urie,31,2,11,07-13-2019
40,Going Bad,Meek Mill Featuring Drake,40,6,31,07-13-2019
41,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,37,22,22,07-13-2019
42,Press,Cardi B,43,16,5,07-13-2019
43,Middle Child,J. Cole,36,4,24,07-13-2019
44,Sicko Mode,Travis Scott,45,1,48,07-13-2019
45,Shotta Flow,NLE Choppa,48,45,11,07-13-2019
46,Someone You Loved,Lewis Capaldi,53,46,8,07-13-2019
47,Better,Khalid,41,8,42,07-13-2019
48,Look Back At It,A Boogie Wit da Hoodie,47,27,30,07-13-2019
49,Shallow,Lady Gaga & Bradley Cooper,42,1,40,07-13-2019
50,Knockin' Boots,Luke Bryan,61,50,10,07-13-2019
51,Look What God Gave Her,Thomas Rhett,54,32,18,07-13-2019
52,Earfquake,"Tyler, The Creator",46,13,7,07-13-2019
53,Go Loko,"YG, Tyga & Jon Z",52,49,9,07-13-2019
54,Nightmare,Halsey,50,15,7,07-13-2019
55,Some Of It,Eric Church,66,55,6,07-13-2019
56,Clout,Offset Featuring Cardi B,56,39,13,07-13-2019
