Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Lose Yourself,Eminem,1,1,13,12-28-2002
2,Work It,"Missy ""Misdemeanor"" Elliott",2,2,16,12-28-2002
3,Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,3,3,12,12-28-2002
4,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,5,4,10,12-28-2002
5,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",4,4,8,12-28-2002
6,Beautiful,Christina Aguilera,10,6,6,12-28-2002
7,"Bump, Bump, Bump",B2K & P. Diddy,12,7,5,12-28-2002
8,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,8,8,21,12-28-2002
9,Underneath It All,No Doubt Featuring Lady Saw,6,3,18,12-28-2002
10,The Game Of Love,Santana Featuring Michelle Branch,7,5,13,12-28-2002
11,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,11,11,17,12-28-2002
12,Gimme The Light,Sean Paul,9,7,35,12-28-2002
13,She Hates Me,Puddle Of Mudd,14,13,12,12-28-2002
14,Landslide,Dixie Chicks,15,13,15,12-28-2002
15,Miss You,Aaliyah,24,15,5,12-28-2002
16,I'm With You,Avril Lavigne,26,16,4,12-28-2002
17,Luv U Better,LL Cool J,13,4,19,12-28-2002
18,dontchange,Musiq,17,17,17,12-28-2002
19,Thugz Mansion,2Pac,30,19,4,12-28-2002
20,Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",16,3,18,12-28-2002
21,Family Portrait,P!nk,25,21,7,12-28-2002
22,Your Body Is A Wonderland,John Mayer,23,22,9,12-28-2002
23,She'll Leave You With A Smile,George Strait,27,23,13,12-28-2002
24,One Last Breath,Creed,20,6,30,12-28-2002
25,All I Have,Jennifer Lopez Featuring LL Cool J,,25,1,12-28-2002
26,Dilemma,Nelly Featuring Kelly Rowland,18,1,25,12-28-2002
27,When The Last Time,Clipse,19,19,16,12-28-2002
28,Who's Your Daddy?,Toby Keith,22,22,13,12-28-2002
29,Cry Me A River,Justin Timberlake,44,29,2,12-28-2002
30,These Days,Rascal Flatts,28,23,13,12-28-2002
31,19 Somethin',Mark Wills,34,31,6,12-28-2002
32,Ignition,R. Kelly,35,32,8,12-28-2002
33,Disease,matchbox twenty,29,29,11,12-28-2002
34,Picture,Kid Rock Featuring Sheryl Crow,46,34,5,12-28-2002
35,Die Another Day,Madonna,21,8,11,12-28-2002
36,I Should Be...,Dru Hill,38,36,4,12-28-2002
37,Fabulous,Jaheim Featuring Tha Rayne,33,33,7,12-28-2002
38,When I'm Gone,3 Doors Down,49,38,6,12-28-2002
39,Made You Look,Nas,58,39,2,12-28-2002
40,Stole,Kelly Rowland,31,27,14,12-28-2002
41,Complicated,Avril Lavigne,36,2,31,12-28-2002
42,Like I Love You,Justin Timberlake,32,11,17,12-28-2002
43,Do That...,Baby Featuring P. Diddy,54,43,7,12-28-2002
44,Fall Into Me,Emerson Drive,45,44,7,12-28-2002
45,Satisfaction,Eve,57,45,5,12-28-2002
46,Somebody Like You,Keith Urban,37,23,20,12-28-2002
47,Lifestyles Of The Rich And Famous,Good Charlotte,53,47,3,12-28-2002
48,React,Erick Sermon Featuring Redman,41,36,11,12-28-2002
49,Wanksta,50 Cent,50,49,5,12-28-2002
50,All My Life,Foo Fighters,43,43,9,12-28-2002
51,Talkin' To Me,Amerie,56,51,4,12-28-2002
52,Red Rag Top,Tim McGraw,40,40,12,12-28-2002
53,Paradise,LL Cool J Featuring Amerie,69,53,3,12-28-2002
54,I Care 4 U,Aaliyah,51,16,19,12-28-2002
55,Thug Lovin',Ja Rule Featuring Bobby Brown,42,42,6,12-28-2002
56,Sk8er Boi,Avril Lavigne,39,10,16,12-28-2002
57,The Baby,Blake Shelton,60,57,4,12-28-2002
58,You Know You're Right,Nirvana,52,45,11,12-28-2002
59,I Just Wanna Be Mad,Terri Clark,59,59,8,12-28-2002
60,A Lot Of Things Different,Kenny Chesney,55,55,5,12-28-2002
61,Something,Lasgo,67,61,9,12-28-2002
62,Make It Clap,Busta Rhymes Featuring Spliff Star,68,62,8,12-28-2002
63,Always,Saliva,66,63,3,12-28-2002
64,The Red,Chevelle,75,64,5,12-28-2002
65,Don't Know Why,Norah Jones,62,52,14,12-28-2002
66,Dirrty,Christina Aguilera Featuring Redman,83,48,15,12-28-2002
67,Mesmerize,Ja Rule Featuring Ashanti,,67,1,12-28-2002
68,You Can't Hide Beautiful,Aaron Lines,,68,1,12-28-2002
69,Cochise,Audioslave,73,69,6,12-28-2002
70,These Are The Days,O-Town,64,64,4,12-28-2002
71,Spin,Lifehouse,82,71,7,12-28-2002
72,Fine Again,Seether,,72,1,12-28-2002
73,Bother,Stone Sour,72,56,9,12-28-2002
74,Prayer,Disturbed,74,58,14,12-28-2002
75,Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",,75,1,12-28-2002
76,I'm Gonna Getcha Good!,Shania Twain,63,34,11,12-28-2002
77,A Moment Like This,Kelly Clarkson,65,1,15,12-28-2002
78,No One Knows,Queens Of The Stone Age,,78,1,12-28-2002
79,Sick Of Being Lonely,Field Mob,85,79,3,12-28-2002
80,The Zephyr Song,Red Hot Chili Peppers,70,49,8,12-28-2002
81,In A Little While,Uncle Kracker,79,59,9,12-28-2002
82,Girl Talk,TLC,76,28,10,12-28-2002
83,Cry,Faith Hill,78,33,18,12-28-2002
84,Through The Rain,Mariah Carey,,84,1,12-28-2002
85,One Of Those Days,Whitney Houston,81,81,7,12-28-2002
86,From Tha Chuuuch To Da Palace,Snoop Dogg,77,77,8,12-28-2002
87,Every River,Brooks & Dunn,80,75,4,12-28-2002
88,Somewhere Out There,Our Lady Peace,71,44,19,12-28-2002
89,Come Close To Me,Common Featuring Mary J. Blige,99,89,2,12-28-2002
90,Aerials,System Of A Down,89,55,20,12-28-2002
91,Single For The Rest Of My Life,Isyss,84,71,10,12-28-2002
92,Come Into My World,Kylie Minogue,95,92,3,12-28-2002
93,Rock The Party,Benzino,90,82,12,12-28-2002
94,Thug Holiday,Trick Daddy Featuring LaTocha Scott,96,94,2,12-28-2002
95,Hit The Freeway,Toni Braxton Featuring Loon,86,86,8,12-28-2002
96,My Town,Montgomery Gentry,87,40,14,12-28-2002
97,Work In Progress,Alan Jackson,94,35,19,12-28-2002
98,Breathe,Telepopmusik,,98,1,12-28-2002
99,Goodbye To You,Michelle Branch,88,21,18,12-28-2002
100,Oh Yeah!,"Big Tymers Featuring Tateeze, Boo & Gotti",93,46,18,12-28-2002
1,Lose Yourself,Eminem,1,1,12,12-21-2002
2,Work It,"Missy ""Misdemeanor"" Elliott",2,2,15,12-21-2002
3,Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,3,3,11,12-21-2002
4,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",7,4,7,12-21-2002
5,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,6,5,9,12-21-2002
6,Underneath It All,No Doubt Featuring Lady Saw,4,3,17,12-21-2002
7,The Game Of Love,Santana Featuring Michelle Branch,5,5,12,12-21-2002
8,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,9,8,20,12-21-2002
9,Gimme The Light,Sean Paul,8,7,34,12-21-2002
10,Beautiful,Christina Aguilera,11,10,5,12-21-2002
11,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,12,11,16,12-21-2002
12,"Bump, Bump, Bump",B2K & P. Diddy,22,12,4,12-21-2002
13,Luv U Better,LL Cool J,10,4,18,12-21-2002
14,She Hates Me,Puddle Of Mudd,14,14,11,12-21-2002
15,Landslide,Dixie Chicks,13,13,14,12-21-2002
16,Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",15,3,17,12-21-2002
17,dontchange,Musiq,19,17,16,12-21-2002
18,Dilemma,Nelly Featuring Kelly Rowland,17,1,24,12-21-2002
19,When The Last Time,Clipse,20,19,15,12-21-2002
20,One Last Breath,Creed,18,6,29,12-21-2002
21,Die Another Day,Madonna,16,8,10,12-21-2002
22,Who's Your Daddy?,Toby Keith,24,22,12,12-21-2002
23,Your Body Is A Wonderland,John Mayer,23,23,8,12-21-2002
24,Miss You,Aaliyah,31,24,4,12-21-2002
25,Family Portrait,P!nk,30,25,6,12-21-2002
26,I'm With You,Avril Lavigne,35,26,3,12-21-2002
27,She'll Leave You With A Smile,George Strait,27,27,12,12-21-2002
28,These Days,Rascal Flatts,25,23,12,12-21-2002
29,Disease,matchbox twenty,29,29,10,12-21-2002
30,Thugz Mansion,2Pac,34,30,3,12-21-2002
31,Stole,Kelly Rowland,28,27,13,12-21-2002
32,Like I Love You,Justin Timberlake,21,11,16,12-21-2002
33,Fabulous,Jaheim Featuring Tha Rayne,37,33,6,12-21-2002
34,19 Somethin',Mark Wills,42,34,5,12-21-2002
35,Ignition,R. Kelly,51,35,7,12-21-2002
36,Complicated,Avril Lavigne,32,2,30,12-21-2002
37,Somebody Like You,Keith Urban,33,23,19,12-21-2002
38,I Should Be...,Dru Hill,62,38,3,12-21-2002
39,Sk8er Boi,Avril Lavigne,26,10,15,12-21-2002
40,Red Rag Top,Tim McGraw,40,40,11,12-21-2002
41,React,Erick Sermon Featuring Redman,38,36,10,12-21-2002
42,Thug Lovin',Ja Rule Featuring Bobby Brown,48,42,5,12-21-2002
43,All My Life,Foo Fighters,46,43,8,12-21-2002
44,Cry Me A River,Justin Timberlake,,44,1,12-21-2002
45,Fall Into Me,Emerson Drive,54,45,6,12-21-2002
46,Picture,Kid Rock Featuring Sheryl Crow,57,46,4,12-21-2002
47,Po' Folks,Nappy Roots Featuring Anthony Hamilton,44,21,23,12-21-2002
48,Baby,Ashanti,39,15,22,12-21-2002
49,When I'm Gone,3 Doors Down,52,49,5,12-21-2002
50,Wanksta,50 Cent,78,50,4,12-21-2002
51,I Care 4 U,Aaliyah,50,16,18,12-21-2002
52,You Know You're Right,Nirvana,47,45,10,12-21-2002
53,Lifestyles Of The Rich And Famous,Good Charlotte,61,53,2,12-21-2002
54,Do That...,Baby Featuring P. Diddy,56,54,6,12-21-2002
55,A Lot Of Things Different,Kenny Chesney,58,55,4,12-21-2002
56,Talkin' To Me,Amerie,66,56,3,12-21-2002
57,Satisfaction,Eve,60,57,4,12-21-2002
58,Made You Look,Nas,,58,1,12-21-2002
59,I Just Wanna Be Mad,Terri Clark,63,59,7,12-21-2002
60,The Baby,Blake Shelton,69,60,3,12-21-2002
61,Beautiful Mess,Diamond Rio,59,28,20,12-21-2002
62,Don't Know Why,Norah Jones,55,52,13,12-21-2002
63,I'm Gonna Getcha Good!,Shania Twain,43,34,10,12-21-2002
64,These Are The Days,O-Town,64,64,3,12-21-2002
65,A Moment Like This,Kelly Clarkson,36,1,14,12-21-2002
66,Always,Saliva,70,66,2,12-21-2002
67,Something,Lasgo,67,67,8,12-21-2002
68,Make It Clap,Busta Rhymes Featuring Spliff Star,71,68,7,12-21-2002
69,Paradise,LL Cool J Featuring Amerie,85,69,2,12-21-2002
70,The Zephyr Song,Red Hot Chili Peppers,53,49,7,12-21-2002
71,Somewhere Out There,Our Lady Peace,65,44,18,12-21-2002
72,Bother,Stone Sour,72,56,8,12-21-2002
73,Cochise,Audioslave,73,73,5,12-21-2002
74,Prayer,Disturbed,76,58,13,12-21-2002
75,The Red,Chevelle,77,75,4,12-21-2002
76,Girl Talk,TLC,49,28,9,12-21-2002
77,From Tha Chuuuch To Da Palace,Snoop Dogg,79,77,7,12-21-2002
78,Cry,Faith Hill,81,33,17,12-21-2002
79,In A Little While,Uncle Kracker,74,59,8,12-21-2002
80,Every River,Brooks & Dunn,75,75,3,12-21-2002
81,One Of Those Days,Whitney Houston,94,81,6,12-21-2002
82,Spin,Lifehouse,84,82,6,12-21-2002
83,Dirrty,Christina Aguilera Featuring Redman,68,48,14,12-21-2002
84,Single For The Rest Of My Life,Isyss,82,71,9,12-21-2002
85,Sick Of Being Lonely,Field Mob,96,85,2,12-21-2002
86,Hit The Freeway,Toni Braxton Featuring Loon,86,86,7,12-21-2002
87,My Town,Montgomery Gentry,83,40,13,12-21-2002
88,Goodbye To You,Michelle Branch,88,21,17,12-21-2002
89,Aerials,System Of A Down,91,55,19,12-21-2002
90,Rock The Party,Benzino,87,82,11,12-21-2002
91,The Streets,WC Featuring Nate Dogg,89,81,13,12-21-2002
92,Ordinary Day,Vanessa Carlton,95,30,18,12-21-2002
93,Oh Yeah!,"Big Tymers Featuring Tateeze, Boo & Gotti",90,46,17,12-21-2002
94,Work In Progress,Alan Jackson,93,35,18,12-21-2002
95,Come Into My World,Kylie Minogue,98,95,2,12-21-2002
96,Thug Holiday,Trick Daddy Featuring LaTocha Scott,,96,1,12-21-2002
97,Where Would You Be,Martina McBride,97,45,16,12-21-2002
98,I'd Rather,Luther Vandross,,83,12,12-21-2002
99,Come Close To Me,Common Featuring Mary J. Blige,,99,1,12-21-2002
100,Little Things,India.Arie,99,89,13,12-21-2002
1,Lose Yourself,Eminem,1,1,11,12-14-2002
2,Work It,"Missy ""Misdemeanor"" Elliott",2,2,14,12-14-2002
3,Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,3,3,10,12-14-2002
4,Underneath It All,No Doubt Featuring Lady Saw,4,3,16,12-14-2002
5,The Game Of Love,Santana Featuring Michelle Branch,5,5,11,12-14-2002
6,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,8,6,8,12-14-2002
7,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",10,7,6,12-14-2002
8,Gimme The Light,Sean Paul,7,7,33,12-14-2002
9,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,12,9,19,12-14-2002
10,Luv U Better,LL Cool J,6,4,17,12-14-2002
11,Beautiful,Christina Aguilera,22,11,4,12-14-2002
12,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,13,12,15,12-14-2002
13,Landslide,Dixie Chicks,15,13,13,12-14-2002
14,She Hates Me,Puddle Of Mudd,19,14,10,12-14-2002
15,Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",9,3,16,12-14-2002
16,Die Another Day,Madonna,14,8,9,12-14-2002
17,Dilemma,Nelly Featuring Kelly Rowland,11,1,23,12-14-2002
18,One Last Breath,Creed,16,6,28,12-14-2002
19,dontchange,Musiq,18,17,15,12-14-2002
20,When The Last Time,Clipse,21,20,14,12-14-2002
21,Like I Love You,Justin Timberlake,17,11,15,12-14-2002
22,"Bump, Bump, Bump",B2K & P. Diddy,45,22,3,12-14-2002
23,Your Body Is A Wonderland,John Mayer,24,23,7,12-14-2002
24,Who's Your Daddy?,Toby Keith,30,24,11,12-14-2002
25,These Days,Rascal Flatts,23,23,11,12-14-2002
26,Sk8er Boi,Avril Lavigne,20,10,14,12-14-2002
27,She'll Leave You With A Smile,George Strait,28,27,11,12-14-2002
28,Stole,Kelly Rowland,29,27,12,12-14-2002
29,Disease,matchbox twenty,32,29,9,12-14-2002
30,Family Portrait,P!nk,40,30,5,12-14-2002
31,Miss You,Aaliyah,38,31,3,12-14-2002
32,Complicated,Avril Lavigne,27,2,29,12-14-2002
33,Somebody Like You,Keith Urban,26,23,18,12-14-2002
34,Thugz Mansion,2Pac,50,34,2,12-14-2002
