Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,The Monster,Eminem Featuring Rihanna,1,1,7,12-28-2013
2,Timber,Pitbull Featuring Ke$ha,2,2,10,12-28-2013
3,Counting Stars,OneRepublic,3,3,26,12-28-2013
4,Say Something,A Great Big World & Christina Aguilera,8,4,6,12-28-2013
5,Royals,Lorde,4,1,24,12-28-2013
6,Demons,Imagine Dragons,7,6,34,12-28-2013
7,Wake Me Up!,Avicii,6,4,25,12-28-2013
8,Wrecking Ball,Miley Cyrus,5,1,17,12-28-2013
9,Let Her Go,Passenger,9,9,20,12-28-2013
10,Story Of My Life,One Direction,11,6,7,12-28-2013
11,"Hold On, We're Going Home",Drake Featuring Majid Jordan,10,4,19,12-28-2013
12,Roar,Katy Perry,12,1,19,12-28-2013
13,Burn,Ellie Goulding,16,13,15,12-28-2013
14,Sweater Weather,The Neighbourhood,15,14,27,12-28-2013
15,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,17,15,13,12-28-2013
16,Do What U Want,Lady Gaga Featuring R. Kelly,18,13,8,12-28-2013
17,Unconditionally,Katy Perry,14,14,8,12-28-2013
18,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",21,11,13,12-28-2013
19,Stay The Night,Zedd Featuring Hayley Williams,20,19,13,12-28-2013
20,Applause,Lady Gaga,19,4,18,12-28-2013
21,My Hitta,YG Featuring Jeezy & Rich Homie Quan,23,19,11,12-28-2013
22,Dark Horse,Katy Perry Featuring Juicy J,36,17,13,12-28-2013
23,Team,Lorde,32,23,12,12-28-2013
24,Pompeii,Bastille,29,24,18,12-28-2013
25,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,24,1,35,12-28-2013
26,Marry Me,Jason Derulo,33,26,11,12-28-2013
27,All I Want For Christmas Is You,Mariah Carey,26,21,6,12-28-2013
28,Holy Grail,Jay Z Featuring Justin Timberlake,22,4,23,12-28-2013
29,Stay,Florida Georgia Line,28,28,9,12-28-2013
30,Radioactive,Imagine Dragons,25,3,68,12-28-2013
31,Love More,Chris Brown Featuring Nicki Minaj,27,23,21,12-28-2013
32,It Won't Stop,Sevyn Streeter Featuring Chris Brown,30,30,11,12-28-2013
33,Brave,Sara Bareilles,31,26,27,12-28-2013
34,Rap God,Eminem,39,7,9,12-28-2013
35,Best Day Of My Life,American Authors,64,35,5,12-28-2013
36,Carolina,Parmalee,43,36,13,12-28-2013
37,Drink A Beer,Luke Bryan,40,37,6,12-28-2013
38,Sail,AWOLNATION,35,17,67,12-28-2013
39,Show Me,Kid Ink Featuring Chris Brown,48,39,6,12-28-2013
40,All Me,Drake Featuring 2 Chainz & Big Sean,37,20,12,12-28-2013
41,Confident,Justin Bieber Featuring Chance The Rapper,,41,1,12-28-2013
42,Drunk Last Night,Eli Young Band,41,41,15,12-28-2013
43,Whatever She's Got,David Nail,46,43,11,12-28-2013
44,Gas Pedal,Sage The Gemini Featuring IamSu!,45,29,21,12-28-2013
45,Safe And Sound,Capital Cities,34,8,33,12-28-2013
46,Wasting All These Tears,Cassadee Pope,52,37,15,12-28-2013
47,Sweet Annie,Zac Brown Band,55,47,9,12-28-2013
48,Chillin' It,Cole Swindell,54,48,9,12-28-2013
49,Summertime Sadness,Lana Del Rey & Cedric Gervais,44,6,23,12-28-2013
50,Slow Down,Selena Gomez,38,27,19,12-28-2013
51,Little Drummer Boy,Pentatonix,13,13,2,12-28-2013
52,All Of Me,John Legend,56,52,10,12-28-2013
53,That's My Kind Of Night,Luke Bryan,50,15,18,12-28-2013
54,Let It Go,Idina Menzel,57,54,3,12-28-2013
55,Saturday,Rebecca Black & Dave Days,,55,1,12-28-2013
56,Animals,Martin Garrix,51,51,13,12-28-2013
57,We Were Us,Keith Urban And Miranda Lambert,42,26,14,12-28-2013
58,Let It Go,Demi Lovato,58,58,3,12-28-2013
59,Don't Let Me Be Lonely,The Band Perry,65,59,9,12-28-2013
60,When She Says Baby,Jason Aldean,70,60,3,12-28-2013
61,TKO,Justin Timberlake,47,36,13,12-28-2013
62,Friday Night,Eric Paslay,62,62,9,12-28-2013
63,I Luv This Sh*t,August Alsina Featuring Trinidad James,61,48,15,12-28-2013
64,Bridge Over Troubled Water,Tessanne Chin,,64,1,12-28-2013
65,Radio,Darius Rucker,66,65,9,12-28-2013
66,Hey Brother,Avicii,78,66,2,12-28-2013
67,Sunny And 75,Joe Nichols,49,39,16,12-28-2013
68,HeadBand,B.o.B Featuring 2 Chainz,68,64,27,12-28-2013
69,Replay,Zendaya,67,61,17,12-28-2013
70,The Language,Drake,72,51,8,12-28-2013
71,Up All Night,Jon Pardi,74,71,5,12-28-2013
72,Love Me Again,John Newman,71,71,4,12-28-2013
73,Compass,Lady Antebellum,76,65,6,12-28-2013
74,Mine Would Be You,Blake Shelton,63,28,20,12-28-2013
75,Cannonball,Lea Michele,,75,1,12-28-2013
76,Bound 2,Kanye West,60,12,4,12-28-2013
77,Perfume,Britney Spears,79,76,3,12-28-2013
78,Berzerk,Eminem,73,3,16,12-28-2013
79,Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,81,77,6,12-28-2013
80,Underneath The Tree,Kelly Clarkson,92,80,2,12-28-2013
81,Honest,Future,77,55,14,12-28-2013
82,Up Down (Do This All Day),T-Pain Featuring B.o.B,87,82,4,12-28-2013
83,Alone Together,Fall Out Boy,91,83,3,12-28-2013
84,All That Matters,Justin Bieber,53,24,3,12-28-2013
85,The Man,Aloe Blacc,,85,1,12-28-2013
86,See You Tonight,Scotty McCreery,,86,3,12-28-2013
87,Angel,Jacquie Lee,,87,1,12-28-2013
88,Helluva Life,Frankie Ballard,89,88,2,12-28-2013
89,My Story,R. Kelly Featuring 2 Chainz,,89,1,12-28-2013
90,Bounce It,Juicy J Featuring Wale & Trey Songz,83,74,16,12-28-2013
91,Do I Wanna Know?,Arctic Monkeys,99,91,2,12-28-2013
92,The Fox,Ylvis,88,6,15,12-28-2013
93,What Now,Rihanna,84,25,8,12-28-2013
94,Best Song Ever,One Direction,,2,19,12-28-2013
95,Old School Love,Lupe Fiasco Featuring Ed Sheeran,95,95,2,12-28-2013
96,Survival,Eminem,85,16,10,12-28-2013
97,The Heart Of Dixie,Danielle Bradbery,,58,3,12-28-2013
98,Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,94,65,10,12-28-2013
99,V. 3005,Childish Gambino,,99,1,12-28-2013
100,Right There,Ariana Grande Featuring Big Sean,90,84,8,12-28-2013
1,The Monster,Eminem Featuring Rihanna,2,1,6,12-21-2013
2,Timber,Pitbull Featuring Ke$ha,4,2,9,12-21-2013
3,Counting Stars,OneRepublic,5,3,25,12-21-2013
4,Royals,Lorde,3,1,23,12-21-2013
5,Wrecking Ball,Miley Cyrus,1,1,16,12-21-2013
6,Wake Me Up!,Avicii,6,4,24,12-21-2013
7,Demons,Imagine Dragons,7,6,33,12-21-2013
8,Say Something,A Great Big World & Christina Aguilera,10,8,5,12-21-2013
9,Let Her Go,Passenger,13,9,19,12-21-2013
10,"Hold On, We're Going Home",Drake Featuring Majid Jordan,11,4,18,12-21-2013
11,Story Of My Life,One Direction,8,6,6,12-21-2013
12,Roar,Katy Perry,9,1,18,12-21-2013
13,Little Drummer Boy,Pentatonix,,13,1,12-21-2013
14,Unconditionally,Katy Perry,15,14,7,12-21-2013
15,Sweater Weather,The Neighbourhood,18,15,26,12-21-2013
16,Burn,Ellie Goulding,21,16,14,12-21-2013
17,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,22,17,12,12-21-2013
18,Do What U Want,Lady Gaga Featuring R. Kelly,17,13,7,12-21-2013
19,Applause,Lady Gaga,14,4,17,12-21-2013
20,Stay The Night,Zedd Featuring Hayley Williams,19,19,12,12-21-2013
21,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",16,11,12,12-21-2013
22,Holy Grail,Jay Z Featuring Justin Timberlake,20,4,22,12-21-2013
23,My Hitta,YG Featuring Jeezy & Rich Homie Quan,23,19,10,12-21-2013
24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,24,1,34,12-21-2013
25,Radioactive,Imagine Dragons,25,3,67,12-21-2013
26,All I Want For Christmas Is You,Mariah Carey,,21,5,12-21-2013
27,Love More,Chris Brown Featuring Nicki Minaj,28,23,20,12-21-2013
28,Stay,Florida Georgia Line,30,28,8,12-21-2013
29,Pompeii,Bastille,38,29,17,12-21-2013
30,It Won't Stop,Sevyn Streeter Featuring Chris Brown,34,30,10,12-21-2013
31,Brave,Sara Bareilles,26,26,26,12-21-2013
32,Team,Lorde,57,32,11,12-21-2013
33,Marry Me,Jason Derulo,29,29,10,12-21-2013
34,Safe And Sound,Capital Cities,33,8,32,12-21-2013
35,Sail,AWOLNATION,32,17,66,12-21-2013
36,Dark Horse,Katy Perry Featuring Juicy J,37,17,12,12-21-2013
37,All Me,Drake Featuring 2 Chainz & Big Sean,40,20,11,12-21-2013
38,Slow Down,Selena Gomez,27,27,18,12-21-2013
39,Rap God,Eminem,48,7,8,12-21-2013
40,Drink A Beer,Luke Bryan,49,40,5,12-21-2013
41,Drunk Last Night,Eli Young Band,44,41,14,12-21-2013
42,We Were Us,Keith Urban And Miranda Lambert,31,26,13,12-21-2013
43,Carolina,Parmalee,46,43,12,12-21-2013
44,Summertime Sadness,Lana Del Rey & Cedric Gervais,41,6,22,12-21-2013
45,Gas Pedal,Sage The Gemini Featuring IamSu!,42,29,20,12-21-2013
46,Whatever She's Got,David Nail,52,46,10,12-21-2013
47,TKO,Justin Timberlake,36,36,12,12-21-2013
48,Show Me,Kid Ink Featuring Chris Brown,55,48,5,12-21-2013
49,Sunny And 75,Joe Nichols,39,39,15,12-21-2013
50,That's My Kind Of Night,Luke Bryan,35,15,17,12-21-2013
51,Animals,Martin Garrix,63,51,12,12-21-2013
52,Wasting All These Tears,Cassadee Pope,54,37,14,12-21-2013
53,All That Matters,Justin Bieber,,24,2,12-21-2013
54,Chillin' It,Cole Swindell,58,54,8,12-21-2013
55,Sweet Annie,Zac Brown Band,59,55,8,12-21-2013
56,All Of Me,John Legend,72,56,9,12-21-2013
57,Let It Go,Idina Menzel,89,57,2,12-21-2013
58,Let It Go,Demi Lovato,64,58,2,12-21-2013
59,Change Me,Justin Bieber,,59,1,12-21-2013
60,Bound 2,Kanye West,12,12,3,12-21-2013
61,I Luv This Sh*t,August Alsina Featuring Trinidad James,56,48,14,12-21-2013
62,Friday Night,Eric Paslay,68,62,8,12-21-2013
63,Mine Would Be You,Blake Shelton,53,28,19,12-21-2013
64,Best Day Of My Life,American Authors,81,64,4,12-21-2013
65,Don't Let Me Be Lonely,The Band Perry,61,61,8,12-21-2013
66,Radio,Darius Rucker,66,66,8,12-21-2013
67,Replay,Zendaya,70,61,16,12-21-2013
