Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Locked Out Of Heaven,Bruno Mars,1,1,11,12-29-2012
2,Diamonds,Rihanna,2,1,12,12-29-2012
3,Ho Hey,The Lumineers,4,3,28,12-29-2012
4,Die Young,Ke$ha,3,2,12,12-29-2012
5,One More Night,Maroon 5,5,1,26,12-29-2012
6,I Cry,Flo Rida,6,6,12,12-29-2012
7,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,9,7,10,12-29-2012
8,Home,Phillip Phillips,7,7,25,12-29-2012
9,Some Nights,fun.,8,3,43,12-29-2012
10,I Knew You Were Trouble.,Taylor Swift,15,3,9,12-29-2012
11,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,10,6,20,12-29-2012
12,Don't You Worry Child,Swedish House Mafia Featuring John Martin,14,12,13,12-29-2012
13,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,21,13,11,12-29-2012
14,Try,P!nk,16,14,8,12-29-2012
15,Scream & Shout,will.i.am & Britney Spears,13,12,3,12-29-2012
16,Girl On Fire,Alicia Keys Featuring Nicki Minaj,12,11,15,12-29-2012
17,The A Team,Ed Sheeran,18,17,23,12-29-2012
18,Gangnam Style,PSY,11,2,15,12-29-2012
19,It's Time,Imagine Dragons,24,19,28,12-29-2012
20,Cruise,Florida Georgia Line Featuring Nelly,17,16,18,12-29-2012
21,Swimming Pools (Drank),Kendrick Lamar,19,17,18,12-29-2012
22,Clique,"Kanye West, Jay-Z, Big Sean",22,12,15,12-29-2012
23,Adorn,Miguel,23,17,20,12-29-2012
24,Too Close,Alex Clare,20,7,38,12-29-2012
25,All I Want For Christmas Is You,Mariah Carey,29,25,3,12-29-2012
26,Va Va Voom,Nicki Minaj,26,22,9,12-29-2012
27,We Are Never Ever Getting Back Together,Taylor Swift,25,1,19,12-29-2012
28,As Long As You Love Me,Justin Bieber Featuring Big Sean,27,6,26,12-29-2012
