Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,We Found Love,Rihanna Featuring Calvin Harris,1,1,13,12-31-2011
2,Sexy And I Know It,LMFAO,2,2,16,12-31-2011
3,It Will Rain,Bruno Mars,3,3,12,12-31-2011
4,Good Feeling,Flo Rida,5,4,12,12-31-2011
5,The One That Got Away,Katy Perry,4,4,10,12-31-2011
6,Ni**as in Paris,Jay Z Kanye West,6,6,19,12-31-2011
7,Someone Like You,Adele,7,1,24,12-31-2011
8,Without You,David Guetta Featuring Usher,9,4,16,12-31-2011
9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8,1,26,12-31-2011
10,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,10,10,12,12-31-2011
11,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,11,4,27,12-31-2011
12,Dance (A$$),Big Sean Featuring Nicki Minaj,14,12,11,12-31-2011
13,Set Fire To The Rain,Adele,21,13,16,12-31-2011
14,Work Out,J. Cole,15,14,16,12-31-2011
15,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,13,1,39,12-31-2011
16,Headlines,Drake,16,13,19,12-31-2011
17,Red Solo Cup,Toby Keith,17,17,8,12-31-2011
18,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,22,10,10,12-31-2011
19,Pumped Up Kicks,Foster The People,18,3,34,12-31-2011
20,You Make Me Feel...,Cobra Starship Featuring Sabi,19,7,23,12-31-2011
21,Mr. Know It All,Kelly Clarkson,20,10,15,12-31-2011
22,Not Over You,Gavin DeGraw,24,22,19,12-31-2011
23,I Don't Want This Night To End,Luke Bryan,25,22,12,12-31-2011
24,Make Me Proud,Drake Featuring Nicki Minaj,27,9,10,12-31-2011
25,You Da One,Rihanna,23,14,6,12-31-2011
26,Love You Like A Love Song,Selena Gomez & The Scene,31,26,26,12-31-2011
27,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",26,1,38,12-31-2011
28,Domino,Jessie J,38,28,10,12-31-2011
29,The Motto,Drake Featuring Lil Wayne,30,18,5,12-31-2011
30,International Love,Pitbull Featuring Chris Brown,46,30,7,12-31-2011
31,Just A Kiss,Lady Antebellum,28,7,33,12-31-2011
32,Mistletoe,Justin Bieber,34,11,8,12-31-2011
33,Marry The Night,Lady Gaga,29,29,6,12-31-2011
34,Super Bass,Nicki Minaj,33,3,34,12-31-2011
35,She Will,Lil Wayne Featuring Drake,36,3,18,12-31-2011
36,Keep Me In Mind,Zac Brown Band,35,35,12,12-31-2011
37,Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",,37,2,12-31-2011
38,Lotus Flower Bomb,Wale Featuring Miguel,44,38,8,12-31-2011
39,Paradise,Coldplay,42,15,14,12-31-2011
40,In The Dark,Dev,32,11,20,12-31-2011
41,Rolling In The Deep,Adele,40,1,50,12-31-2011
42,Tattoos On This Town,Jason Aldean,39,38,13,12-31-2011
43,Easy,Rascal Flatts Featuring Natasha Bedingfield,43,43,21,12-31-2011
44,I Like It Like That,Hot Chelle Rae Featuring New Boyz,49,43,11,12-31-2011
45,Drink In My Hand,Eric Church,50,40,13,12-31-2011
46,Fly,Nicki Minaj Featuring Rihanna,37,19,17,12-31-2011
47,Ours,Taylor Swift,65,13,6,12-31-2011
48,God Gave Me You,Blake Shelton,41,22,23,12-31-2011
49,Blackout,Breathe Carolina,58,49,7,12-31-2011
50,We Owned The Night,Lady Antebellum,45,31,18,12-31-2011
51,Let It Rain,David Nail Featuring Sarah Buxton,54,51,14,12-31-2011
