Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Irreplaceable,Beyonce,1,1,9,12-30-2006
2,I Wanna Love You,Akon Featuring Snoop Dogg,2,1,12,12-30-2006
3,Smack That,Akon Featuring Eminem,4,2,13,12-30-2006
4,Fergalicious,Fergie,3,3,13,12-30-2006
5,My Love,Justin Timberlake Featuring T.I.,5,1,15,12-30-2006
6,Say It Right,Nelly Furtado,6,6,6,12-30-2006
7,We Fly High,Jim Jones,8,7,11,12-30-2006
8,How To Save A Life,The Fray,9,3,36,12-30-2006
9,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,10,9,11,12-30-2006
10,Lips Of An Angel,Hinder,11,3,23,12-30-2006
11,Promise,Ciara,14,11,6,12-30-2006
12,Wind It Up,Gwen Stefani,7,6,7,12-30-2006
13,Walk It Out,Unk,15,13,15,12-30-2006
14,I Luv It,Young Jeezy,22,14,5,12-30-2006
15,Money Maker,Ludacris Featuring Pharrell,13,1,19,12-30-2006
16,SexyBack,Justin Timberlake,18,1,24,12-30-2006
17,Chasing Cars,Snow Patrol,19,5,31,12-30-2006
18,It Ends Tonight,The All-American Rejects,16,11,12,12-30-2006
19,Keep Holding On,Avril Lavigne,17,17,3,12-30-2006
20,Far Away,Nickelback,20,8,22,12-30-2006
21,Hurt,Christina Aguilera,21,19,12,12-30-2006
22,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,26,22,11,12-30-2006
23,Before He Cheats,Carrie Underwood,24,16,16,12-30-2006
24,That's That,Snoop Dogg Featuring R. Kelly,25,20,5,12-30-2006
25,You Don't Know,"Eminem, 50 Cent, Lloyd Banks & Ca$his",12,12,2,12-30-2006
26,You,Lloyd Featuring Lil Wayne,32,26,6,12-30-2006
27,Welcome To The Black Parade,My Chemical Romance,27,13,14,12-30-2006
28,Say Goodbye,Chris Brown,23,10,19,12-30-2006
29,Waiting On The World To Change,John Mayer,29,20,23,12-30-2006
30,Make It Rain,Fat Joe Featuring Lil Wayne,30,30,7,12-30-2006
31,Runaway Love,Ludacris Featuring Mary J. Blige,41,31,5,12-30-2006
32,Money In The Bank,Lil Scrappy Featuring Young Buck,28,28,14,12-30-2006
33,My Wish,Rascal Flatts,33,28,15,12-30-2006
34,Call Me When You're Sober,Evanescence,31,10,18,12-30-2006
35,Too Little Too Late,JoJo,34,3,18,12-30-2006
36,She's Everything,Brad Paisley,35,35,11,12-30-2006
37,Wait A Minute,The Pussycat Dolls Featuring Timbaland,39,37,6,12-30-2006
38,What Goes Around...Comes Around,Justin Timberlake,64,38,2,12-30-2006
39,Want To,Sugarland,38,32,13,12-30-2006
40,Watching You,Rodney Atkins,45,40,7,12-30-2006
41,Through Glass,Stone Sour,44,41,20,12-30-2006
42,Stuntin' Like My Daddy,Birdman & Lil Wayne,36,21,16,12-30-2006
43,My Little Girl,Tim McGraw,40,35,14,12-30-2006
44,It's Not Over,Daughtry,51,44,4,12-30-2006
45,Tim McGraw,Taylor Swift,46,44,15,12-30-2006
46,What Hurts The Most,Rascal Flatts,50,6,46,12-30-2006
47,Tell Me,Diddy Featuring Christina Aguilera,49,47,9,12-30-2006
48,Come To Me,Diddy Featuring Nicole Scherzinger,43,9,16,12-30-2006
49,Snow ((Hey Oh)),Red Hot Chili Peppers,56,49,5,12-30-2006
50,Happy Xmas (War Is Over),The Fray,,50,1,12-30-2006
51,Unappreciated,Cherish,48,41,12,12-30-2006
52,Show Me What You Got,JAY-Z,37,8,11,12-30-2006
53,Show Stopper,Danity Kane,53,8,18,12-30-2006
54,Break It Off,Rihanna & Sean Paul,63,54,4,12-30-2006
55,White & Nerdy,"""Weird Al"" Yankovic",57,9,12,12-30-2006
56,Hip Hop Is Dead,Nas Featuring will.i.am,76,56,2,12-30-2006
57,Ice Box,Omarion,69,57,3,12-30-2006
58,It Just Comes Natural,George Strait,58,58,7,12-30-2006
59,When You Were Young,The Killers,52,14,19,12-30-2006
60,Lost One,Jay-Z Featuring Chrisette Michele,66,60,2,12-30-2006
61,Maneater,Nelly Furtado,61,16,14,12-30-2006
62,Here It Goes Again,OK Go,87,38,16,12-30-2006
63,Here (In Your Arms),Hellogoodbye,75,62,7,12-30-2006
64,Poppin',Chris Brown Featuring Jay Biz,73,64,3,12-30-2006
65,Amarillo Sky,Jason Aldean,68,65,10,12-30-2006
66,Into The Ocean,Blue October,85,66,2,12-30-2006
67,Some People Change,Montgomery Gentry,60,57,10,12-30-2006
68,You Save Me,Kenny Chesney,55,41,16,12-30-2006
69,Boston,Augustana,74,54,11,12-30-2006
70,Zoom,Lil' Boosie Featuring Yung Joc,81,70,3,12-30-2006
71,River,Sarah McLachlan,78,71,2,12-30-2006
72,Rockstar,Nickelback,77,72,12,12-30-2006
73,Streetcorner Symphony,Rob Thomas,72,64,12,12-30-2006
74,Upgrade U,Beyonce Featuring Jay Z,59,59,7,12-30-2006
75,The Saints Are Coming,U2 & Green Day,71,51,5,12-30-2006
76,Take Me As I Am,Mary J. Blige,82,58,13,12-30-2006
77,Anna-Molly,Incubus,70,66,3,12-30-2006
78,Face Down,The Red Jumpsuit Apparatus,83,76,19,12-30-2006
79,Come Back To Me,Vanessa Hudgens,62,55,14,12-30-2006
80,Pain,Three Days Grace,86,80,3,12-30-2006
81,The Carpal Tunnel Of Love,Fall Out Boy,,81,1,12-30-2006
82,Stupid Boy,Keith Urban,95,82,2,12-30-2006
83,Top Back,T.I.,88,83,2,12-30-2006
84,Chain Hang Low,Jibbs,79,7,20,12-30-2006
