Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Hello,Adele,1,1,7,12-26-2015
2,Sorry,Justin Bieber,2,2,7,12-26-2015
3,Hotline Bling,Drake,3,2,19,12-26-2015
4,What Do You Mean?,Justin Bieber,4,1,15,12-26-2015
5,Love Yourself,Justin Bieber,7,4,4,12-26-2015
6,The Hills,The Weeknd,5,1,29,12-26-2015
7,Stitches,Shawn Mendes,6,4,29,12-26-2015
8,Here,Alessia Cara,8,8,19,12-26-2015
9,Same Old Love,Selena Gomez,10,9,13,12-26-2015
10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,9,8,23,12-26-2015
11,679,Fetty Wap Featuring Remy Boyz,11,4,24,12-26-2015
12,Ex's & Oh's,Elle King,12,10,23,12-26-2015
13,On My Mind,Ellie Goulding,13,13,12,12-26-2015
14,Jumpman,Drake & Future,15,12,12,12-26-2015
15,Can't Feel My Face,The Weeknd,16,1,27,12-26-2015
16,Antidote,Travis Scott,19,16,14,12-26-2015
17,Lean On,Major Lazer & DJ Snake Featuring MO,20,4,36,12-26-2015
18,Wildest Dreams,Taylor Swift,14,5,16,12-26-2015
19,In The Night,The Weeknd,37,19,5,12-26-2015
20,Don't,Bryson Tiller,24,20,11,12-26-2015
21,Somebody To Love,Jordan Smith,,21,1,12-26-2015
22,All I Want For Christmas Is You,Mariah Carey,26,21,12,12-26-2015
23,White Iverson,Post Malone,22,22,14,12-26-2015
24,Focus,Ariana Grande,17,7,6,12-26-2015
25,Die A Happy Man,Thomas Rhett,23,23,12,12-26-2015
26,Watch Me,Silento,18,3,42,12-26-2015
27,Trap Queen,Fetty Wap,28,2,47,12-26-2015
28,Stressed Out,twenty one pilots,45,28,12,12-26-2015
29,Roses,The Chainsmokers Featuring Rozes,36,29,8,12-26-2015
30,Say It,Tory Lanez,30,30,8,12-26-2015
31,Confident,Demi Lovato,21,21,10,12-26-2015
32,Perfect,One Direction,27,10,8,12-26-2015
33,Locked Away,R. City Featuring Adam Levine,25,6,21,12-26-2015
34,Break Up In A Small Town,Sam Hunt,32,32,10,12-26-2015
35,Where Ya At,Future Featuring Drake,29,28,21,12-26-2015
36,"Me, Myself & I",G-Eazy x Bebe Rexha,66,36,6,12-26-2015
37,No Role Modelz,J. Cole,41,37,17,12-26-2015
38,Where Are U Now,Skrillex & Diplo With Justin Bieber,31,8,41,12-26-2015
39,Adventure Of A Lifetime,Coldplay,54,39,5,12-26-2015
40,Good For You,Selena Gomez Featuring A$AP Rocky,38,5,25,12-26-2015
41,See You Again,Wiz Khalifa Featuring Charlie Puth,39,1,40,12-26-2015
42,Again,Fetty Wap,42,33,18,12-26-2015
43,Cheerleader,OMI,46,1,34,12-26-2015
44,Rockin' Around The Christmas Tree,Brenda Lee,,14,13,12-26-2015
45,Hit The Quan,iLoveMemphis,35,15,17,12-26-2015
46,Drag Me Down,One Direction,33,3,19,12-26-2015
47,Burning House,Cam,48,47,22,12-26-2015
48,Hide Away,Daya,53,48,12,12-26-2015
49,Back Up,DeJ Loaf Featuring Big Sean,47,47,10,12-26-2015
50,Renegades,X Ambassadors,40,17,35,12-26-2015
51,I'll Show You,Justin Bieber,34,19,6,12-26-2015
52,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,64,52,4,12-26-2015
53,Exchange,Bryson Tiller,60,53,7,12-26-2015
54,Gonna,Blake Shelton,56,54,13,12-26-2015
55,My House,Flo Rida,70,55,5,12-26-2015
56,Used To Love You,Gwen Stefani,52,52,4,12-26-2015
57,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,59,22,5,12-26-2015
58,Lay It All On Me,Rudimental Featuring Ed Sheeran,49,48,10,12-26-2015
59,Stay A Little Longer,Brothers Osborne,65,59,10,12-26-2015
60,Do It Like Me,DLOW,58,45,5,12-26-2015
61,Stand By You,Rachel Platten,85,61,4,12-26-2015
62,The Fix,Nelly Featuring Jeremih,63,62,11,12-26-2015
63,Cake By The Ocean,DNCE,72,63,8,12-26-2015
64,Big Rings,Drake & Future,68,52,12,12-26-2015
65,Gonna Know We Were Here,Jason Aldean,62,62,9,12-26-2015
66,Back To Back,Drake,73,21,19,12-26-2015
67,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,84,67,3,12-26-2015
68,Down In The DM,Yo Gotti Featuring Nicki Minaj,87,68,2,12-26-2015
69,Nothin' Like You,Dan + Shay,51,51,18,12-26-2015
70,The Feeling,Justin Bieber Featuring Halsey,57,31,4,12-26-2015
71,I Got The Boy,Jana Kramer,77,71,9,12-26-2015
72,Best Friend,Young Thug,86,72,3,12-26-2015
73,Top Of The World,Tim McGraw,78,73,9,12-26-2015
74,I Love This Life,LOCASH,79,74,7,12-26-2015
75,One Call Away,Charlie Puth,89,75,2,12-26-2015
76,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",67,12,16,12-26-2015
77,Hands To Myself,Selena Gomez,,77,1,12-26-2015
78,When We Were Young,Adele,69,22,3,12-26-2015
79,Come Get Her,Rae Sremmurd,76,56,13,12-26-2015
80,Strip It Down,Luke Bryan,75,30,19,12-26-2015
81,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,81,63,13,12-26-2015
82,New Americana,Halsey,96,82,11,12-26-2015
83,Smoke Break,Carrie Underwood,71,43,16,12-26-2015
84,Irresistible,Fall Out Boy,95,77,4,12-26-2015
85,Purpose,Justin Bieber,74,43,4,12-26-2015
86,Dibs,Kelsea Ballerini,91,86,6,12-26-2015
87,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,,71,7,12-26-2015
88,Right Hand,Drake,93,58,13,12-26-2015
89,Dessert,Dawin,,89,1,12-26-2015
90,Mark My Words,Justin Bieber,80,42,4,12-26-2015
91,Already Callin' You Mine,Parmalee,100,91,3,12-26-2015
92,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,94,84,6,12-26-2015
93,Backroad Song,Granger Smith,,93,1,12-26-2015
94,Random,G-Eazy,,94,1,12-26-2015
95,Company,Justin Bieber,83,53,4,12-26-2015
96,No Pressure,Justin Bieber Featuring Big Sean,88,49,4,12-26-2015
97,Sorry,Rick Ross Featuring Chris Brown,,97,1,12-26-2015
98,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,,98,1,12-26-2015
99,Liquor,Chris Brown,82,60,15,12-26-2015
100,Beautiful Drug,Zac Brown Band,,95,3,12-26-2015
1,Hello,Adele,1,1,6,12-19-2015
2,Sorry,Justin Bieber,2,2,6,12-19-2015
3,Hotline Bling,Drake,3,2,18,12-19-2015
4,What Do You Mean?,Justin Bieber,4,1,14,12-19-2015
5,The Hills,The Weeknd,5,1,28,12-19-2015
6,Stitches,Shawn Mendes,6,4,28,12-19-2015
7,Love Yourself,Justin Bieber,7,4,3,12-19-2015
8,Here,Alessia Cara,10,8,18,12-19-2015
9,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,8,8,22,12-19-2015
10,Same Old Love,Selena Gomez,11,10,12,12-19-2015
11,679,Fetty Wap Featuring Remy Boyz,9,4,23,12-19-2015
12,Ex's & Oh's,Elle King,12,10,22,12-19-2015
13,On My Mind,Ellie Goulding,15,13,11,12-19-2015
14,Wildest Dreams,Taylor Swift,13,5,15,12-19-2015
15,Jumpman,Drake & Future,18,12,11,12-19-2015
16,Can't Feel My Face,The Weeknd,17,1,26,12-19-2015
17,Focus,Ariana Grande,16,7,5,12-19-2015
18,Watch Me,Silento,14,3,41,12-19-2015
19,Antidote,Travis Scott,20,19,13,12-19-2015
20,Lean On,Major Lazer & DJ Snake Featuring MO,19,4,35,12-19-2015
21,Confident,Demi Lovato,28,21,9,12-19-2015
22,White Iverson,Post Malone,25,22,13,12-19-2015
23,Die A Happy Man,Thomas Rhett,29,23,11,12-19-2015
24,Don't,Bryson Tiller,33,24,10,12-19-2015
25,Locked Away,R. City Featuring Adam Levine,24,6,20,12-19-2015
26,All I Want For Christmas Is You,Mariah Carey,,21,11,12-19-2015
27,Perfect,One Direction,27,10,7,12-19-2015
28,Trap Queen,Fetty Wap,26,2,46,12-19-2015
29,Where Ya At,Future Featuring Drake,34,28,20,12-19-2015
30,Say It,Tory Lanez,37,30,7,12-19-2015
31,Where Are U Now,Skrillex & Diplo With Justin Bieber,32,8,40,12-19-2015
32,Break Up In A Small Town,Sam Hunt,39,32,9,12-19-2015
33,Drag Me Down,One Direction,30,3,18,12-19-2015
34,I'll Show You,Justin Bieber,31,19,5,12-19-2015
35,Hit The Quan,iLoveMemphis,23,15,16,12-19-2015
36,Roses,The Chainsmokers Featuring Rozes,51,36,7,12-19-2015
37,In The Night,The Weeknd,54,37,4,12-19-2015
38,Good For You,Selena Gomez Featuring A$AP Rocky,40,5,24,12-19-2015
39,See You Again,Wiz Khalifa Featuring Charlie Puth,36,1,39,12-19-2015
40,Renegades,X Ambassadors,38,17,34,12-19-2015
41,No Role Modelz,J. Cole,44,41,16,12-19-2015
42,Again,Fetty Wap,42,33,17,12-19-2015
43,My Way,Fetty Wap Featuring Monty,35,7,22,12-19-2015
44,I'm Comin' Over,Chris Young,41,33,23,12-19-2015
45,Stressed Out,twenty one pilots,57,45,11,12-19-2015
46,Cheerleader,OMI,43,1,33,12-19-2015
47,Back Up,DeJ Loaf Featuring Big Sean,47,47,9,12-19-2015
48,Burning House,Cam,49,48,21,12-19-2015
49,Lay It All On Me,Rudimental Featuring Ed Sheeran,50,48,9,12-19-2015
50,Photograph,Ed Sheeran,48,10,30,12-19-2015
51,Nothin' Like You,Dan + Shay,58,51,17,12-19-2015
52,Used To Love You,Gwen Stefani,77,52,3,12-19-2015
53,Hide Away,Daya,61,53,11,12-19-2015
54,Adventure Of A Lifetime,Coldplay,53,53,4,12-19-2015
55,How Deep Is Your Love,Calvin Harris & Disciples,52,27,20,12-19-2015
56,Gonna,Blake Shelton,63,56,12,12-19-2015
57,The Feeling,Justin Bieber Featuring Halsey,46,31,3,12-19-2015
58,Do It Like Me,DLOW,45,45,4,12-19-2015
59,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,72,22,4,12-19-2015
60,Exchange,Bryson Tiller,71,60,6,12-19-2015
61,Hallelujah,Jordan Smith,,61,1,12-19-2015
62,Gonna Know We Were Here,Jason Aldean,68,62,8,12-19-2015
63,The Fix,Nelly Featuring Jeremih,66,63,10,12-19-2015
64,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,55,55,3,12-19-2015
65,Stay A Little Longer,Brothers Osborne,69,65,9,12-19-2015
