Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,1,1,13,12-25-2004
2,Let Me Love You,Mario,3,2,10,12-25-2004
3,"1, 2 Step",Ciara Featuring Missy Elliott,5,3,9,12-25-2004
4,My Boo,Usher And Alicia Keys,2,1,16,12-25-2004
5,Over And Over,Nelly Featuring Tim McGraw,4,3,11,12-25-2004
6,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,7,6,5,12-25-2004
7,Soldier,Destiny's Child Featuring T.I. & Lil Wayne,10,7,5,12-25-2004
8,Wonderful,Ja Rule Featuring R. Kelly & Ashanti,8,5,11,12-25-2004
9,Lose My Breath,Destiny's Child,6,3,14,12-25-2004
10,Breakaway,Kelly Clarkson,11,6,18,12-25-2004
11,Let's Go,Trick Daddy Featuring Lil Jon & Twista,9,7,15,12-25-2004
12,I Don't Want To Be,Gavin DeGraw,12,12,10,12-25-2004
13,Disco Inferno,50 Cent,27,13,3,12-25-2004
14,Only U,Ashanti,23,14,6,12-25-2004
15,She Will Be Loved,Maroon 5,16,5,23,12-25-2004
16,Goodies,Ciara Featuring Petey Pablo,15,1,27,12-25-2004
17,Oye Mi Canto,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",14,12,18,12-25-2004
18,Get Back,Ludacris,21,18,6,12-25-2004
19,Dare You To Move,Switchfoot,17,17,13,12-25-2004
20,Breathe,Fabolous,13,10,15,12-25-2004
21,U Make Me Wanna,Jadakiss Featuring Mariah Carey,29,21,6,12-25-2004
22,What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,28,22,8,12-25-2004
23,How We Do,The Game Featuring 50 Cent,32,23,5,12-25-2004
24,Go D.J.,Lil Wayne,18,14,13,12-25-2004
25,Karma,Lloyd Banks Featuring Avant,46,25,6,12-25-2004
26,Encore,"Eminem, Dr. Dre & 50 Cent",34,26,6,12-25-2004
27,Boulevard Of Broken Dreams,Green Day,48,27,5,12-25-2004
28,Some Beach,Blake Shelton,30,28,9,12-25-2004
29,Charlene,Anthony Hamilton,19,19,17,12-25-2004
30,Back When,Tim McGraw,31,30,10,12-25-2004
31,Broken,Seether Featuring Amy Lee,20,20,17,12-25-2004
32,New York,Ja Rule Featuring Fat Joe & Jadakiss,42,32,6,12-25-2004
33,Baby It's You,JoJo Featuring Bow Wow,22,22,12,12-25-2004
34,Daughters,John Mayer,43,34,8,12-25-2004
35,Bring Em Out,T.I.,40,35,5,12-25-2004
36,Vertigo,U2,36,31,12,12-25-2004
37,Numb/Encore,Jay-Z/Linkin Park,53,37,5,12-25-2004
38,Shorty Wanna Ride,Young Buck,24,17,11,12-25-2004
39,True,Ryan Cabrera,52,39,3,12-25-2004
40,Welcome To My Life,Simple Plan,45,40,7,12-25-2004
41,One Thing,Finger Eleven,38,16,23,12-25-2004
42,On The Way Down,Ryan Cabrera,33,15,22,12-25-2004
43,My Happy Ending,Avril Lavigne,41,9,22,12-25-2004
44,"Awful, Beautiful Life",Darryl Worley,49,44,7,12-25-2004
45,Just Lose It,Eminem,25,6,12,12-25-2004
46,Lean Back,Terror Squad,37,1,27,12-25-2004
47,The Woman With You,Kenny Chesney,47,33,11,12-25-2004
48,Diary,Alicia Keys Featuring Tony! Toni! Tone!,39,8,28,12-25-2004
49,Beautiful Soul,Jesse McCartney,58,49,3,12-25-2004
50,Nothing On But The Radio,Gary Allan,44,32,15,12-25-2004
51,How Am I Doin',Dierks Bentley,51,49,10,12-25-2004
52,Balla Baby,Chingy,35,20,12,12-25-2004
53,Since U Been Gone,Kelly Clarkson,70,53,2,12-25-2004
54,Hush,LL Cool J Featuring 7 Aurelius,26,26,14,12-25-2004
55,When I Think About Cheatin',Gretchen Wilson,56,55,3,12-25-2004
56,You're My Better Half,Keith Urban,62,56,4,12-25-2004
57,Nobody's Home,Avril Lavigne,57,57,3,12-25-2004
58,Mud On The Tires,Brad Paisley,60,58,4,12-25-2004
59,Mr. Mom,Lonestar,50,33,15,12-25-2004
60,Nothin 'Bout Love Makes Sense,LeAnn Rimes,59,59,7,12-25-2004
61,Party For Two,Shania Twain With Billy Currington Or Mark McGrath,61,58,8,12-25-2004
62,Bless The Broken Road,Rascal Flatts,66,62,2,12-25-2004
63,Somebody Told Me,The Killers,54,51,17,12-25-2004
64,1985,Bowling For Soup,55,23,16,12-25-2004
65,Lady,Lenny Kravitz,69,65,3,12-25-2004
66,Karma,Alicia Keys,74,66,5,12-25-2004
67,Monday Morning Church,Alan Jackson,64,64,4,12-25-2004
68,Give A Little Bit,Goo Goo Dolls,73,66,5,12-25-2004
69,Tempted To Touch,Rupee,63,39,12,12-25-2004
70,Some Cut,Trillville Featuring Cutty,,70,1,12-25-2004
