Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Blank Space,Taylor Swift,1,1,7,12-27-2014
2,Take Me To Church,Hozier,2,2,18,12-27-2014
3,Uptown Funk!,Mark Ronson Featuring Bruno Mars,5,3,5,12-27-2014
4,Lips Are Movin,Meghan Trainor,8,4,8,12-27-2014
5,I'm Not The Only One,Sam Smith,7,5,15,12-27-2014
6,Thinking Out Loud,Ed Sheeran,24,6,10,12-27-2014
7,All About That Bass,Meghan Trainor,3,1,23,12-27-2014
8,Animals,Maroon 5,4,3,17,12-27-2014
9,Love Me Harder,Ariana Grande & The Weeknd,10,7,10,12-27-2014
10,Shake It Off,Taylor Swift,6,1,17,12-27-2014
11,Jealous,Nick Jonas,9,8,14,12-27-2014
12,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",32,12,7,12-27-2014
13,The Heart Wants What It Wants,Selena Gomez,12,6,6,12-27-2014
14,I Don't F**k With You,Big Sean Featuring E-40,14,11,12,12-27-2014
15,Habits (Stay High),Tove Lo,11,3,29,12-27-2014
16,Tuesday,I LOVE MAKONNEN Featuring Drake,16,12,12,12-27-2014
17,Don't,Ed Sheeran,17,9,27,12-27-2014
18,Waves,Mr. Probz,18,14,17,12-27-2014
19,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",19,3,20,12-27-2014
20,7/11,Beyonce,13,13,3,12-27-2014
21,Blame,Calvin Harris Featuring John Newman,22,19,14,12-27-2014
22,No Type,Rae Sremmurd,20,16,12,12-27-2014
23,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,15,12,3,12-27-2014
24,Hot Boy,Bobby Shmurda,21,6,20,12-27-2014
25,Stay With Me,Sam Smith,23,2,36,12-27-2014
26,Centuries,Fall Out Boy,26,22,14,12-27-2014
27,CoCo,O.T. Genasis,28,27,4,12-27-2014
28,Beg For It,Iggy Azalea Featuring M0,29,28,8,12-27-2014
29,Don't Tell 'Em,Jeremih Featuring YG,25,6,25,12-27-2014
30,Black Widow,Iggy Azalea Featuring Rita Ora,30,3,24,12-27-2014
31,Trumpets,Jason Derulo,27,14,29,12-27-2014
32,Riptide,Vance Joy,37,32,25,12-27-2014
33,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,33,16,22,12-27-2014
34,Chandelier,Sia,31,8,32,12-27-2014
35,Heroes (We Could Be),Alesso Featuring Tove Lo,49,35,11,12-27-2014
36,Rather Be,Clean Bandit Featuring Jess Glynne,36,10,27,12-27-2014
37,I Don't Mind,Usher Featuring Juicy J,45,37,4,12-27-2014
38,Something In The Water,Carrie Underwood,52,24,11,12-27-2014
39,Shotgun Rider,Tim McGraw,43,39,11,12-27-2014
