Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,How You Remind Me,Nickelback,1,1,17,12-29-2001
2,U Got It Bad,Usher,2,1,15,12-29-2001
3,Family Affair,Mary J. Blige,3,1,23,12-29-2001
4,Get The Party Started,P!nk,5,4,10,12-29-2001
5,Hero,Enrique Iglesias,4,3,14,12-29-2001
6,"Whenever, Wherever",Shakira,7,6,10,12-29-2001
7,Always On Time,Ja Rule Featuring Ashanti,9,7,7,12-29-2001
8,Differences,Ginuwine,6,4,23,12-29-2001
9,My Sacrifice,Creed,11,9,10,12-29-2001
10,Livin' It Up,Ja Rule Featuring Case,8,6,18,12-29-2001
11,A Woman's Worth,Alicia Keys,13,11,10,12-29-2001
12,Turn Off The Light,Nelly Furtado,10,5,20,12-29-2001
13,Gone,'N Sync,12,11,15,12-29-2001
14,Superman (It's Not Easy),Five For Fighting,15,14,18,12-29-2001
15,Wherever You Will Go,The Calling,19,15,8,12-29-2001
16,Rock The Boat,Aaliyah,17,14,17,12-29-2001
17,I Do!!,Toya,20,16,31,12-29-2001
18,I'm Real,Jennifer Lopez Featuring Ja Rule,14,1,26,12-29-2001
19,Only Time,Enya,16,10,25,12-29-2001
20,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,25,20,11,12-29-2001
21,Butterflies,Michael Jackson,26,21,7,12-29-2001
22,We Thuggin',Fat Joe Featuring R. Kelly,23,22,10,12-29-2001
23,Caramel,City High Featuring Eve,24,19,12,12-29-2001
24,Fallin',Alicia Keys,18,1,29,12-29-2001
25,#1,Nelly,22,22,11,12-29-2001
26,In The End,Linkin Park,32,26,9,12-29-2001
27,Hey Baby,No Doubt Featuring Bounty Killer,36,27,4,12-29-2001
28,Son Of A Gun,"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",29,28,6,12-29-2001
29,Emotion,Destiny's Child,21,10,14,12-29-2001
30,Where Were You (When The World Stopped Turning),Alan Jackson,30,30,6,12-29-2001
31,It's Been Awhile,Staind,27,5,38,12-29-2001
32,Dig In,Lenny Kravitz,31,31,12,12-29-2001
33,I Wanna Talk About Me,Toby Keith,28,28,12,12-29-2001
34,Roll Out (My Business),Ludacris,42,34,8,12-29-2001
35,7 Days,Craig David,35,35,4,12-29-2001
36,Standing Still,Jewel,41,36,7,12-29-2001
37,Run,George Strait,34,34,10,12-29-2001
38,"Lights, Camera, Action!",Mr. Cheeks,38,38,12,12-29-2001
39,Good Morning Beautiful,Steve Holy,43,39,5,12-29-2001
40,Hanging By A Moment,Lifehouse,33,2,47,12-29-2001
41,Break Ya Neck,Busta Rhymes,44,41,8,12-29-2001
42,Drops Of Jupiter (Tell Me),Train,39,5,42,12-29-2001
43,Riding With Private Malone,David Ball,40,36,10,12-29-2001
44,I'm Tryin',Trace Adkins,48,44,11,12-29-2001
45,Alive,P.O.D.,53,45,9,12-29-2001
46,Wrapped Up In You,Garth Brooks,49,46,10,12-29-2001
47,Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,54,47,3,12-29-2001
48,Wrapped Around,Brad Paisley,55,48,7,12-29-2001
49,You Gets No Love,Faith Evans,47,38,13,12-29-2001
50,Raise Up,Petey Pablo,45,25,21,12-29-2001
51,The Whole World,OutKast Featuring Killer Mike,68,51,2,12-29-2001
52,"Girls, Girls, Girls",JAY-Z,37,17,12,12-29-2001
53,No More Drama,Mary J. Blige,64,53,3,12-29-2001
54,Blurry,Puddle Of Mudd,72,54,2,12-29-2001
55,Lifetime,Maxwell,52,22,17,12-29-2001
56,Bring On The Rain,Jo Dee Messina With Tim McGraw,57,56,4,12-29-2001
57,Can't Fight The Moonlight,LeAnn Rimes,78,57,24,12-29-2001
58,Everywhere,Michelle Branch,51,12,18,12-29-2001
59,The World's Greatest,R. Kelly,,59,1,12-29-2001
60,Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",60,60,3,12-29-2001
61,Brotha,Angie Stone,63,61,8,12-29-2001
62,Young'n (Holla Back),Fabolous,67,62,5,12-29-2001
63,Ooohhhwee,Master P Featuring Weebie,,63,1,12-29-2001
64,I'm A Slave 4 U,Britney Spears,50,27,11,12-29-2001
65,Goodbye,Jagged Edge,58,58,7,12-29-2001
66,The Long Goodbye,Brooks & Dunn,75,66,2,12-29-2001
67,Love Of A Woman,Travis Tritt,59,39,16,12-29-2001
68,Let's Stay Home Tonight,Joe,70,68,2,12-29-2001
69,Wish You Were Here,Incubus,62,60,15,12-29-2001
70,Welcome To Atlanta,Jermaine Dupri & Ludacris,,70,1,12-29-2001
71,With Me,Lonestar,65,63,10,12-29-2001
72,Dance With Me,112,66,39,16,12-29-2001
73,God Bless The USA,Lee Greenwood,69,16,14,12-29-2001
74,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,,74,1,12-29-2001
75,From Her Mama (Mama Got A**),Juvenile,74,74,8,12-29-2001
76,Fade,Staind,71,62,11,12-29-2001
77,Don't You Forget It,Glenn Lewis,77,77,5,12-29-2001
78,Stuck In A Moment You Can't Get Out Of,U2,73,52,14,12-29-2001
79,Smooth Criminal,Alien Ant Farm,56,23,19,12-29-2001
80,Drowning,Backstreet Boys,61,28,11,12-29-2001
81,Never Too Far/Hero Medley,Mariah Carey,,81,1,12-29-2001
82,AM To PM,Christina Milian,83,27,19,12-29-2001
83,Where I Come From,Alan Jackson,80,34,19,12-29-2001
84,Love Of My Life,Brian McKnight,76,51,16,12-29-2001
85,Part II,Method Man & Redman,85,85,2,12-29-2001
86,Control,Puddle Of Mudd,84,68,12,12-29-2001
87,Angry All The Time,Tim McGraw,79,38,20,12-29-2001
88,Ugly,Bubba Sparxxx,81,15,18,12-29-2001
89,The Star Spangled Banner,Whitney Houston,82,6,25,12-29-2001
90,You Rock My World,Michael Jackson,87,10,17,12-29-2001
91,Fatty Girl,"Ludacris, LL Cool J & Keith Murray",88,87,9,12-29-2001
92,Feelin' On Yo Booty,R. Kelly,92,36,19,12-29-2001
93,Got Ur Self A...,Nas,93,93,3,12-29-2001
94,What Am I Gonna Do,Tyrese,90,71,14,12-29-2001
95,I'm A Survivor,Reba,86,49,16,12-29-2001
96,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",91,84,13,12-29-2001
97,What If,Babyface,98,80,15,12-29-2001
98,Round And Round,Jonell & Method Man,96,96,3,12-29-2001
99,God Bless America,Daniel Rodriguez,,99,1,12-29-2001
100,Who We Be,DMX,89,60,12,12-29-2001
1,How You Remind Me,Nickelback,3,1,16,12-22-2001
2,U Got It Bad,Usher,1,1,14,12-22-2001
3,Family Affair,Mary J. Blige,2,1,22,12-22-2001
4,Hero,Enrique Iglesias,4,3,13,12-22-2001
5,Get The Party Started,P!nk,6,5,9,12-22-2001
6,Differences,Ginuwine,7,4,22,12-22-2001
7,"Whenever, Wherever",Shakira,9,7,9,12-22-2001
8,Livin' It Up,Ja Rule Featuring Case,8,6,17,12-22-2001
9,Always On Time,Ja Rule Featuring Ashanti,13,9,6,12-22-2001
10,Turn Off The Light,Nelly Furtado,5,5,19,12-22-2001
11,My Sacrifice,Creed,17,11,9,12-22-2001
12,Gone,'N Sync,11,11,14,12-22-2001
13,A Woman's Worth,Alicia Keys,20,13,9,12-22-2001
14,I'm Real,Jennifer Lopez Featuring Ja Rule,10,1,25,12-22-2001
15,Superman (It's Not Easy),Five For Fighting,15,15,17,12-22-2001
16,Only Time,Enya,12,10,24,12-22-2001
17,Rock The Boat,Aaliyah,19,14,16,12-22-2001
18,Fallin',Alicia Keys,18,1,28,12-22-2001
19,Wherever You Will Go,The Calling,23,19,7,12-22-2001
20,I Do!!,Toya,16,16,30,12-22-2001
