Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Firework,Katy Perry,1,1,8,12-25-2010
2,What's My Name?,Rihanna Featuring Drake,3,1,8,12-25-2010
3,Grenade,Bruno Mars,5,3,11,12-25-2010
4,Raise Your Glass,P!nk,2,1,10,12-25-2010
5,We R Who We R,Ke$ha,8,1,7,12-25-2010
6,Only Girl (In The World),Rihanna,6,1,14,12-25-2010
7,Just The Way You Are,Bruno Mars,7,1,21,12-25-2010
8,The Time (Dirty Bit),The Black Eyed Peas,4,4,5,12-25-2010
9,Just A Dream,Nelly,9,3,17,12-25-2010
10,Bottoms Up,Trey Songz Featuring Nicki Minaj,10,6,18,12-25-2010
11,Black And Yellow,Wiz Khalifa,14,11,10,12-25-2010
12,Like A G6,Far*East Movement Featuring Cataracs & Dev,11,1,18,12-25-2010
13,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,12,4,22,12-25-2010
14,Dynamite,Taio Cruz,13,2,28,12-25-2010
15,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,20,15,3,12-25-2010
16,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,18,16,14,12-25-2010
17,Please Don't Go,Mike Posner,19,16,12,12-25-2010
18,That's All She Wrote,T.I. Featuring Eminem,,18,1,12-25-2010
19,Stereo Love,Edward Maya & Vika Jigulina,24,19,10,12-25-2010
20,Teenage Dream,Katy Perry,15,1,21,12-25-2010
21,Animal,Neon Trees,16,13,28,12-25-2010
22,Yeah 3X,Chris Brown,33,22,7,12-25-2010
23,F**k You! (Forget You),Cee Lo Green,17,9,16,12-25-2010
24,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,51,24,3,12-25-2010
25,Secrets,OneRepublic,28,21,25,12-25-2010
26,Right Thru Me,Nicki Minaj,31,26,11,12-25-2010
27,Whip My Hair,WILLOW,27,11,8,12-25-2010
28,If I Die Young,The Band Perry,30,19,23,12-25-2010
29,Right Above It,Lil Wayne Featuring Drake,32,6,17,12-25-2010
30,Club Can't Handle Me,Flo Rida Featuring David Guetta,23,9,24,12-25-2010
31,I Like It,Enrique Iglesias Featuring Pitbull,26,4,31,12-25-2010
32,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,41,32,11,12-25-2010
33,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,35,33,11,12-25-2010
34,Back To December,Taylor Swift,43,6,7,12-25-2010
35,Christmas Lights,Coldplay,25,25,2,12-25-2010
36,Deuces,Chris Brown Featuring Tyga & Kevin McCall,34,14,24,12-25-2010
37,Somewhere With You,Kenny Chesney,40,37,6,12-25-2010
38,No Love,Eminem Featuring Lil Wayne,39,23,15,12-25-2010
39,My Kinda Party,Jason Aldean,46,39,16,12-25-2010
40,Love The Way You Lie,Eminem Featuring Rihanna,37,1,25,12-25-2010
41,Felt Good On My Lips,Tim McGraw,48,26,6,12-25-2010
42,Love Like Woe,The Ready Set,36,27,18,12-25-2010
43,Stuck Like Glue,Sugarland,42,17,20,12-25-2010
44,Can't Be Friends,Trey Songz,45,43,13,12-25-2010
45,Pretty Girl Rock,Keri Hilson,62,45,3,12-25-2010
46,Memories,David Guetta Featuring Kid Cudi,50,46,10,12-25-2010
47,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,44,32,18,12-25-2010
48,Dog Days Are Over,Florence + The Machine,21,21,13,12-25-2010
49,Jar Of Hearts,Christina Perri,65,34,11,12-25-2010
50,Mine,Taylor Swift,47,3,19,12-25-2010
51,We No Speak Americano,Yolanda Be Cool & Dcup,49,29,13,12-25-2010
52,Kush,Dr. Dre Featuring Snoop Dogg & Akon,58,34,4,12-25-2010
53,Turn On The Radio,Reba,63,53,13,12-25-2010
54,Who Are You When I'm Not Looking,Blake Shelton,64,54,6,12-25-2010
55,Rhythm of Love,Plain White T's,71,55,13,12-25-2010
56,Mama's Song,Carrie Underwood,59,56,12,12-25-2010
57,"Baby, It's Cold Outside",Glee Cast,,57,1,12-25-2010
58,Why Wait,Rascal Flatts,53,48,17,12-25-2010
59,Welcome Christmas,Glee Cast,,59,1,12-25-2010
60,Rocketeer,Far*East Movement Featuring Ryan Tedder,93,60,2,12-25-2010
61,Put You In A Song,Keith Urban,61,60,11,12-25-2010
