Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,"Thank U, Next",Ariana Grande,1,1,7,12-29-2018
2,Without Me,Halsey,2,2,11,12-29-2018
3,Sicko Mode,Travis Scott,3,1,20,12-29-2018
4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,7,4,9,12-29-2018
5,Happier,Marshmello & Bastille,4,3,18,12-29-2018
6,High Hopes,Panic! At The Disco,5,5,20,12-29-2018
7,All I Want For Christmas Is You,Mariah Carey,6,6,29,12-29-2018
8,ZEZE,Kodak Black Featuring Travis Scott & Offset,9,2,10,12-29-2018
9,Drip Too Hard,Lil Baby & Gunna,8,4,14,12-29-2018
10,It's The Most Wonderful Time Of The Year,Andy Williams,13,10,9,12-29-2018
11,Rockin' Around The Christmas Tree,Brenda Lee,18,11,26,12-29-2018
12,A Holly Jolly Christmas,Burl Ives,21,12,9,12-29-2018
13,Jingle Bell Rock,Bobby Helms,15,13,24,12-29-2018
14,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,11,14,12-29-2018
15,Girls Like You,Maroon 5 Featuring Cardi B,10,1,30,12-29-2018
16,Mo Bamba,Sheck Wes,12,6,17,12-29-2018
17,The Christmas Song (Merry Christmas To You),Nat King Cole,24,17,16,12-29-2018
18,Eastside,"benny blanco, Halsey & Khalid",16,16,23,12-29-2018
19,Breathin,Ariana Grande,14,12,18,12-29-2018
20,Youngblood,5 Seconds Of Summer,22,7,29,12-29-2018
21,Better Now,Post Malone,20,3,34,12-29-2018
22,Going Bad,Meek Mill Featuring Drake,17,6,3,12-29-2018
23,Lucid Dreams,Juice WRLD,19,2,32,12-29-2018
24,Imagine,Ariana Grande,,24,1,12-29-2018
25,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",25,11,12,12-29-2018
26,MIA,Bad Bunny Featuring Drake,26,5,10,12-29-2018
27,Last Christmas,Wham!,31,27,8,12-29-2018
28,Rudolph The Red-Nosed Reindeer,Gene Autry,27,27,3,12-29-2018
29,Trip,Ella Mai,23,11,20,12-29-2018
30,Money,Cardi B,29,13,9,12-29-2018
